Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Aviones,2022,N/A,16 Oct 2022,6 min,Short,Amaia Yoldi,Amaia Yoldi,"Lupe Cartié Roda, Estrella Gamboa, Jorge Llorente",N/A,Spanish,Spain,10 nominations total,https://m.media-amazon.com/images/M/MV5BYzMzNDIwZGMtNWMwNi00ZTg3LWE4NTktNDU5NGQ1MDZmMDYxXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt22308866,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Appleseed,2004,R,17 Apr 2004,101 min,"Animation, Action, Adventure",Shinji Aramaki,"Shirow Masamune, Haruka Handa, Tsutomu Kamishiro","Ai Kobayashi, Jûrôta Kosugi, Yuki Matsuoka","In a utopian society created at the end of the third world war, a female warrior who has been plucked from the badlands begins to see cracks in this new facade. And what does this community have planned for the rest of humankind?",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNWMxMzBkMTYtZDNmZS00YWUyLTliYTctY2MzNTY5MmVhMTQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.9,"18,974",tt0401233,movie,N/A,"$129,135",N/A,N/A,True,BLU- RAY.pdf,
Betty Boop,1930–1939,N/A,09 Aug 1930,6 min,"Animation, Family",N/A,N/A,Mae Questel,"Betty Boop is one of the most popular cartoon characters of all time. She first appeared in 1930 in ""Dizzy Dishes,"" an installment of creator Max Fleischer's ""Talkartoon"" series, but soon ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYjUwMzhkMGItZTNiZS00MTdiLTkyY2ItYjM5ZjRjZmEwMjgwXkEyXkFqcGdeQXVyNzMwOTY2NTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,113,tt6280424,series,,,,,True,BLU- RAY.pdf,N/A
Blancanieves,2012,PG-13,28 Sep 2012,104 min,"Drama, Fantasy",Pablo Berger,"Pablo Berger, Jacob Grimm, Wilhelm Grimm","Maribel Verdú, Emilio Gavira, Daniel Giménez Cacho","A band of bullfighting dwarfs save the life of a young woman with amnesia. They end up taking her under their wing when they find out that she has seemingly natural skills as a bullfighter, upon which they can capitalize not only for their act but for her own personal gain. As she does not know her name or background, the dwarfs coin her Blancanieves, after the famed fairy tale. What they are all unaware of is that she is really Carmen, the daughter of the once great matador, Antonio Villalta. On the day Carmen was born, her father suffered a career ending accident, and her mother died in childbirth. Her father quickly remarried his nurse, the evil Encarna. Although raised by her grandmother during her early years, Carmen, following the death of her grandmother, went to live with Encarna while an adolescent, Encarna who treated her as a slave. Carmen eventually found her disabled father, who was hidden away and treated poorly by Encarna. In the meantime, Encarna was cavorting with the household chauffeur while living off her husband's riches. Antonio did pass along to Carmen the art of bullfighting. As Blancanieves teeters on the brink of fame as a matador, her life may be placed in jeopardy if Encarna learns who she is, as Encarna believed Carmen was dead since she was the one who ordered her murder at the hands of the chauffeur.",Spanish,"Spain, Belgium, France, United States",49 wins & 55 nominations,https://m.media-amazon.com/images/M/MV5BYWJjM2UxMjYtODcwNC00N2MzLWE0MWQtMDY0Y2Y1ZDY4N2FmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.5,"11,796",tt1854513,movie,N/A,"$279,735",N/A,N/A,True,BLU- RAY.pdf,
Cantinflas,2014,PG,18 Sep 2014,102 min,"Biography, Comedy, Drama",Sebastian del Amo,"Edui Tijerina, Sebastian del Amo","Óscar Jaenada, Michael Imperioli, Ilse Salas","The untold story of Mexico's greatest and most beloved comedy film star of all time, from his humble origins on the small stage to the bright lights of Hollywood.","Spanish, English",Mexico,30 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BNTNhODBmNTktNmU3NS00ZmE3LWE3ZmQtNDJmYWFhMTY4YWJjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.6,"4,239",tt3005242,movie,N/A,"$6,382,924",N/A,N/A,True,BLU- RAY.pdf,
Captain America,1990,PG-13,26 Jul 1991,97 min,"Action, Adventure, Sci-Fi",Albert Pyun,"Joe Simon, Jack Kirby, Stephen Tolkin","Matt Salinger, Ronny Cox, Ned Beatty","During World War II, a brave, patriotic American Soldier undergoes experiments to become a new supersoldier, ""Captain America."" Racing to Germany to sabotage the rockets of Nazi baddie ""Red Skull"", Captain America winds up frozen until the 1990s. He reawakens to find that the Red Skull has changed identities and is now planning to kidnap the President of the United States.",English,"Yugoslavia, United States",N/A,https://m.media-amazon.com/images/M/MV5BZjAwNGM0NWUtNmIwZC00OGEzLWFjZGEtMWE5ZjJjM2ZjZThhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}]",N/A,3.2,"15,938",tt0103923,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Búsqueda implacable,1998,N/A,N/A,N/A,Action,Eduardo Martínez,Esteban Rivas,"Alberto Estrella, Sergio Mayer, Benito Raúl Ibarra",N/A,Spanish,Mexico,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,16,tt0355301,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Cars 2,2011,G,24 Jun 2011,106 min,"Animation, Adventure, Comedy","John Lasseter, Bradford Lewis","Ben Queen, John Lasseter, Bradford Lewis","Owen Wilson, Larry the Cable Guy, Michael Caine","The famous race car Lightning McQueen and his team are invited to compete in the World Grand Prix race. There, McQueen's best friend Mater finds himself involved in international espionage, and alongside two professional British spies attempts to uncover a secret plan led by a mysterious mastermind and his criminal gang, which threatens the lives of all competitors in the tournament.","English, Japanese, Italian, French, Russian","United States, Japan, India, United Kingdom, Australia",1 win & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.2,"251,842",tt1216475,movie,N/A,"$191,452,396",N/A,N/A,True,BLU- RAY.pdf,
El circo,1943,N/A,11 Mar 1943,90 min,Comedy,Miguel M. Delgado,"Miguel M. Delgado, Jaime Salvador","Cantinflas, Gloria Lynch, Estanislao Schillinsky","In this version of Chaplin's The Circus (1928), Cantinflas is a cobbler who gets a job in a Circus as a janitor, recommended by the beautiful girl rider of the show. But later, Cantinflas gets in trouble when he involves in dangerous acts, such as the trapeze. Obviously, our friend will risk his life by the love of his new girlfriend.",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BMzQxNWNkNTgtYjlmNi00Y2Q1LWFmMWUtOWM5MDJhMGRlMzA5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,234,tt0034597,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
El Chico,2008,N/A,17 Aug 2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt6449614,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
