Original Failed Title,Likely Corrected Title
ASESINO DEL FUTURO,Looper
Amantes de 5 a 7,5 to 7
"""Amor, honor y libertad""","Amor, Honor y Libertad"
Bienvenidos al ayer,Project Almanac
"""Beetlejuice, el súper fantasma""",Beetlejuice
BUSCANDO A NEMO,Finding Nemo
CONTANDO A MIS EX,What's Your Number?
CONOCERÁS AL HOMBRE DE TUS SUEÑOS,You Will Meet a Tall Dark Stranger
"""Chica que saltaba a través del tiempo, La""",La Chica que Saltaba a Través del Tiempo
BATMAN EL CABALLERO DE LA NOCHE,Batman: The Dark Knight
BATMAN INICIA,Batman Begins
EL DÍA DEL JUICIO FINAL,Terminator 2: Judgment Day
"""Avispon Verde, El""",The Green Hornet
"""Delgada línea amarilla, La""",La Delgada Línea Amarilla
"""Demonio Neón, El""",The Neon Demon
"""Dictadura Perfecta, La""",La Dictadura Perfecta
DOCE [I. E. 12] AÑOS ESCLAVO,12 Years a Slave
EL DISCURSO DEL REY,The King's Speech
DRAGON BALL: COOLERS REVENGE,Dragon Ball Z: Cooler's Revenge
ENAMORÁNDOME DE MI EX,It's Complicated
EN BUSCA DE UN ASESINO,In Search of a Killer
EVANGELIÓN : I. II,Evangelion: 1.0 You Are (Not) Alone
Frankenstein de Mary Shelley,Mary Shelley's Frankenstein
Furia de titanes 2 3D,Wrath of the Titans
GA’HOOLE,Legend of the Guardians: The Owls of Ga'Hoole
GRANDES HÉROES,Big Hero 6
IRON MAN Y HULK,Iron Man & Hulk: Heroes United
HANNIBAL  Temporada 1,Hannibal (TV Series)
JAZMÍN AZUL,Blue Jasmine
"""HIJO DE BATMAN,EL""",Son of Batman
"""JOVEN MANOS DE TIJERAS, EL""",Edward Scissorhands
Kiki entregas a domicilio,Kiki's Delivery Service
Laberinto del terror.El,The Maze Runner
Harry Potter :y las reliquias de la muerte,Harry Potter and the Deathly Hallows
LA LIGA DE LA JUSTICIA: GUERRA,Justice League: War
LOCO Y ESTÚPIDO AMOR,"Crazy, Stupid, Love."
LOCA POR LAS COMPRAS,Confessions of a Shopaholic
LUCES DE LA CIUDAD,City Lights
"""LEYENDA DE LA PRINCESA KAGUYA,La""",The Tale of the Princess Kaguya
Maléfica: dueña del mal,Maleficent: Mistress of Evil
MENTE INDOMABLE,Good Will Hunting
MI VECINO TOTORO,My Neighbor Totoro
"""Mañana Nunca muere, El""",Tomorrow Never Dies
ARNIA 3D,The Chronicles of Narnia: The Voyage of the Dawn Treader
LOS NIÑOS ESTÁN BIEN,The Kids Are All Right
OBEDIENCIA PERFECTA,Obediencia Perfecta
"""OZ, EL PODEROSO""",Oz the Great and Powerful
"""PACIENTE INGLES, EL""",The English Patient
PERDIDO EN AFGANISTÁN,Lost in Afghanistan
PODER SIN LÍMITES,Chronicle
POLICÍAS DE REPUESTO,The Other Guys
QUIERO MATAR A MI JEFE,Horrible Bosses
RÁPIDOS Y FURIOSOS 5IN CONTROL,Fast Five
ROSEMARY’S BABY,Rosemary's Baby
SABES QUIÉN VIENE?,Guess Who
SECRETOS PELIGROSOS,Stolen
SE LEVANTA EL VIENTO,The Wind Rises
SOMBRAS TENEBROSAS,Dark Shadows
EL SUEÑO DE WALT,Saving Mr. Banks
Tan fuerte y tan cerca Extremely Loud &,Extremely Loud & Incredibly Close
PÉRDIDA DE LA INOCENCIA,The Loss of Sexual Innocence
TODO UN PARTO,Due Date
SALVAR UNA VIDA,To Save a Life
"""ÚLTIMA NOCHE DE LA HUMANIDAD, LA 3D""",The Darkest Hour
UN CHIHUAHUA DE BEVERLY HILLS,Beverly Hills Chihuahua
ORANGE IS THE NEW BLACK (SEGUNDA,Orange Is the New Black (TV Series)
agua y la vidaEl,Oceans (Documentary)
"""agua y la vida, El (estaciones del mar,Las""",Oceans (Documentary)
"""agua y la vida, El""",Oceans (Documentary)
agua y la vida El,Oceans (Documentary)
LA POSESIÓN DE SALLY,The Possession of Sally
"""agua y la vida,El ( viaje a las profundidades""",Oceans (Documentary)
IMAX  MAR PROFUNDO 3D,Deep Sea 3D (IMAX)
MONSTRUOS DEL MAR,Sea Monsters: A Prehistoric Adventure
"""REINO DE LOS OCÉANOS, EL""",Ocean Kingdom (Documentary Series)
