Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginalTitle
Beetlejuice,1988,PG,30 Mar 1988,92 min,"Comedy, Fantasy",Tim Burton,"Michael McDowell, Warren Skaaren, Larry Wilson","Alec Baldwin, Geena Davis, Michael Keaton","Adam and Barbara are a normal couple...who happen to be dead. They have given their precious time to decorate their house and make it their own, but unfortunately a family is moving in, and not quietly. Adam and Barbara try to scare them out, but end up becoming the main attraction to the money making family. They call upon Beetlejuice to help, but Beetlejuice has more in mind than just helping.",English,United States,Won 1 Oscar. 7 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BYjkwNzVlNDEtMTJlNy00OTdlLTljYWItM2RkZmZkYzY3YjM2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.4,"416,001",tt0094721,movie,N/A,"$74,664,632",N/A,N/A,True,"""Beetlejuice, el súper fantasma"""
Looper,2012,R,28 Sep 2012,119 min,"Action, Drama, Sci-Fi",Rian Johnson,Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt","Joe is classified as a ""looper"", a job in which his employers use time travel to send men from the future to be killed into the past, where Joe can properly dispose of their bodies. However, to tie up loose ends and erase the evidence of his ever being a looper, Joe knows that one day his future self will be sent back for him to kill. When this day comes, Joe's future self is prepared and escapes, and the two men struggle separately in the past trying to evade capture and attempting to fulfill their own personal agendas.","English, French","United States, China",18 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BMTg5NTA3NTg4NF5BMl5BanBnXkFtZTcwNTA0NDYzOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.4,"624,435",tt1276104,movie,N/A,"$66,486,205",N/A,N/A,True,ASESINO DEL FUTURO
You Will Meet a Tall Dark Stranger,2010,R,22 Oct 2010,98 min,"Comedy, Drama, Romance",Woody Allen,Woody Allen,"Anthony Hopkins, Naomi Watts, Josh Brolin","Follows a pair of married couples, Alfie (Sir Anthony Hopkins) and Helena (Gemma Jones), and their daughter Sally (Naomi Watts) and husband Roy (Josh Brolin), as their passions, ambitions, and anxieties lead them into trouble and out of their minds. After Alfie leaves Helena to pursue his lost youth and a free-spirited call girl named Charmaine (Lucy Punch), Helena abandons rationality and surrenders her life to the loopy advice of a charlatan fortune teller. Unhappy in her marriage, Sally develops a crush on her handsome art gallery owner boss, Greg (Antonio Banderas), while Roy, an author nervously awaiting the response to his latest manuscript, becomes moonstruck over Dia (Freida Pinto), a mystery woman who catches his gaze through a nearby window.","English, Italian","United States, Spain, United Kingdom",2 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTkzOTI3MTE0OF5BMl5BanBnXkFtZTcwOTg3NDI3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.3,"47,889",tt1182350,movie,N/A,"$3,248,246",N/A,N/A,True,CONOCERÁS AL HOMBRE DE TUS SUEÑOS
Finding Nemo,2003,G,30 May 2003,100 min,"Animation, Adventure, Comedy","Andrew Stanton, Lee Unkrich","Andrew Stanton, Bob Peterson, David Reynolds","Albert Brooks, Ellen DeGeneres, Alexander Gould","A clown fish named Marlin lives in the Great Barrier Reef and loses his son, Nemo, after he ventures into the open sea, despite his father's constant warnings about many of the ocean's dangers. Nemo is abducted by a boat and netted up and sent to a dentist's office in Sydney. While Marlin ventures off to try to retrieve Nemo, Marlin meets a fish named Dory, a blue tang suffering from short-term memory loss. The companions travel a great distance, encountering various dangerous sea creatures such as sharks, anglerfish and jellyfish, in order to rescue Nemo from the dentist's office, which is situated by Sydney Harbour. While the two are searching the ocean far and wide, Nemo and the other sea animals in the dentist's fish tank plot a way to return to the sea to live their lives free again.","English, Japanese, Russian","United States, Japan, Australia, Kazakhstan, Armenia",Won 1 Oscar. 49 wins & 63 nominations total,https://m.media-amazon.com/images/M/MV5BMTc5NjExNTA5OV5BMl5BanBnXkFtZTYwMTQ0ODY2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,8.2,"1,196,544",tt0266543,movie,N/A,"$380,843,261",N/A,N/A,True,BUSCANDO A NEMO
What's Your Number?,2011,R,30 Sep 2011,106 min,"Comedy, Romance",Mark Mylod,"Karyn Bosnak, Gabrielle Allan, Jennifer Crittenden","Anna Faris, Chris Evans, Ari Graynor","Ally is a woman who has many ex-boyfriends who turned out to be losers. Now she believes that she can't find a good guy. But when she runs into one of her exes who is now a 'Prince Charming', she decides to look up all of her exes to see if any of them have changed for the better. When she has trouble locating them, she asks her neighbor Colin, who sleeps with a different women every night and sneaks out the morning after to avoid talking to them, to help her.",English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BMjIzNTc2MTgwNV5BMl5BanBnXkFtZTcwMzYzMzgxNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.0,"90,583",tt0770703,movie,N/A,"$14,011,084",N/A,N/A,True,CONTANDO A MIS EX
Project Almanac,2015,PG-13,30 Jan 2015,106 min,"Drama, Mystery, Sci-Fi",Dean Israelite,"Jason Pagan, Andrew Deutschman","Amy Landecker, Sofia Black-D'Elia, Virginia Gardner","The teenager David Raskin is a genius that dreams on joining the MIT. He has a crush on Jessie Pierce but he is too shy to date her. When David finds the design of a time machine that belonged to his father, he decides to build the device together with his friends Quinn Goldberg and Adam Le and his sister Christina Raskin. Soon Jessie joins the group and becomes David's girlfriend. When their experiment gets out of control and changing the future, David decides to fix the problems making them worse.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTUxMjQ2NjI4OV5BMl5BanBnXkFtZTgwODc2NjUwNDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.4,"87,096",tt2436386,movie,N/A,"$22,348,241",N/A,N/A,True,Bienvenidos al ayer
5 to 7,2014,R,12 Feb 2015,95 min,"Comedy, Drama, Romance",Victor Levin,Victor Levin,"Anton Yelchin, Bérénice Marlohe, Olivia Thirlby","In New York, an aspiring novelist has a cinq-a-sept affair with the beautiful wife of a French diplomat. Cultures, world views, personal ethics and dietary preferences clash as love deepens, with remarkable results. Romance, drama and comedy.","English, French",United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMTQ4Mzg3ODQ4M15BMl5BanBnXkFtZTgwMjA3NjE1NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,7.1,"21,959",tt2486678,movie,N/A,"$162,685",N/A,N/A,True,Amantes de 5 a 7
"Batman: The Dark Knight Returns, Part 1",2012,PG-13,25 Sep 2012,76 min,"Animation, Action, Crime, Drama, Thriller",Jay Oliva,"Bob Kane (character created by: Batman), Frank Miller (comic book), Klaus Janson (comic book), Bob Goodman","Peter Weller, Ariel Winter, David Selby, Wade Williams","Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?",English,USA,5 nominations.,https://m.media-amazon.com/images/M/MV5BMzIxMDkxNDM2M15BMl5BanBnXkFtZTcwMDA5ODY1OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.0,"54,214",tt2313197,movie,N/A,N/A,N/A,N/A,True,BATMAN EL CABALLERO DE LA NOCHE
Batman Begins,2005,PG-13,15 Jun 2005,140 min,"Action, Crime, Drama",Christopher Nolan,"Bob Kane, David S. Goyer, Christopher Nolan","Christian Bale, Michael Caine, Ken Watanabe","When his parents are killed, billionaire playboy Bruce Wayne relocates to Asia, where he is mentored by Henri Ducard and Ra's Al Ghul in how to fight evil. When learning about the plan to wipe out evil in Gotham City by Ducard, Bruce prevents this plan from getting any further and heads back to his home. Back in his original surroundings, Bruce adopts the image of a bat to strike fear into the criminals and the corrupt as the icon known as ""Batman"". But it doesn't stay quiet for long.","English, Mandarin","United States, United Kingdom",Nominated for 1 Oscar. 15 wins & 79 nominations total,https://m.media-amazon.com/images/M/MV5BMzA2NDQzZDEtNDU5Ni00YTlkLTg2OWEtYmQwM2Y1YTBjMjFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,8.2,"1,700,042",tt0372784,movie,N/A,"$206,863,479",N/A,N/A,True,BATMAN INICIA
The Green Hornet,2011,PG-13,14 Jan 2011,119 min,"Action, Comedy, Crime",Michel Gondry,"Seth Rogen, Evan Goldberg, George W. Trendle","Seth Rogen, Jay Chou, Christoph Waltz","Playboy Britt Reid (Seth Rogen) becomes the new publisher of Los Angeles' ""The Daily Sentinel"" after the sudden death of his father. Britt's party life is about to change when he and his driver and kung fu expert, Kato (Jay Chou), stop a robbery. With the help of Kato, Britt starts a new career of fighting crime as the masked superhero ""The Green Hornet"".","English, Mandarin",United States,4 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTcwOTMwMDYyMl5BMl5BanBnXkFtZTcwMzAxMjMyNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.8,"168,421",tt0990407,movie,N/A,"$98,780,042",N/A,N/A,True,"""Avispon Verde, El"""
