OriginalTitle,PotentialTitle,Year,MovieID,SourcePDF
Beethoven 3 214,Ludwig van Beethoven: Symphonies Nos. 2 & 3 'Eroica',1984,tt0248848,CINE.pdf
Beethoven 3 214,Symphonie Nr. 3 Es-Dur opus 55 (Eroica) von Ludwig van Beethoven,1967,tt0382329,CINE.pdf
Beethoven 3 214,"Beethoven Opus 59, No. 3: Allegro Molto",2004,tt0486749,CINE.pdf
Beethoven 3 214,"Art and Music: Beethoven Symphonies 1, 2 and 3",2007,tt1434418,CINE.pdf
Beethoven 3 214,Wiener Philharmoniker & Christian Thielemann: Beethoven 9 - Symphony No.3,2011,tt2950176,CINE.pdf
Beethoven 3 214,Phillip Kawin: Beethoven Piano Concerto No. 3,2019,tt9800504,CINE.pdf
Beethoven 3 214,The Yonkers Philharmonic Orchestra: Beethoven Festival Concert Series No.3,2016,tt34928051,CINE.pdf
Brasil Brazil 251,Meu Brasil (My Brazil),2008,tt2359179,CINE.pdf
Brasil Brazil 251,Brasil Via Atlântico - Brazil 500 years celebrations at sea,2001,tt12797036,CINE.pdf
"Warrior, El  293",El Dragón: Return of a Warrior,2019–2020,tt9281190,CINE.pdf
Carnaval en el trópico Carnaval en,Carnaval en el trópico,1942,tt0161377,CINE.pdf
"revolucionaria, La 341",Alberto o La Metamorfosis Revolucionaria del General Carrera Torres,2017,tt7260100,CINE.pdf
Control Total,Total Control,2019–2024,tt9318588,CINE.pdf
Control Total,Camp 14: Total Control Zone,2012,tt2149190,CINE.pdf
Control Total,Total Control: Short,2017,tt6522414,CINE.pdf
Control Total,Total Control,2006,tt0842656,CINE.pdf
Control Total,Total Control 2,2006,tt0842657,CINE.pdf
Control Total,Total Control 3,2006,tt0842658,CINE.pdf
Control Total,The Motels: Total Control,1980,tt10878250,CINE.pdf
Control Total,Total Control - Im Bann der Seelenfänger,2018,tt11506770,CINE.pdf
Control Total,Total Control,2012,tt2169568,CINE.pdf
Control Total,NASCAR 06: Total Team Control,2005,tt3983218,CINE.pdf
Cuenta final,Lo que cuenta es el final,2014,tt8584690,CINE.pdf
