Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Filmando: Batalla en el cielo,2004,N/A,N/A,60 min,Documentary,"Adrian Arce, Manuel Méndez","Adrian Arce, Manuel Méndez","Alex Ezpeleta, Marcos Hernández, Gilles Laurent","An uplifting video that aggressively claims to be some kind of art house or something like that, and which I don't turn my tongue to call a movie. People who like this and who dare to call it ""an art not for everyone"" or ""a film with some not all clear meaning"", can only take pity. And those who make such videos need to be treated. Not all dirt in human society, and not all ugliness must be transferred to the screen, throwing it at the viewer.",Spanish,Mexico,4 wins,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,187,tt0796975,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Barton Fink,1991,R,21 Aug 1991,116 min,"Comedy, Drama, Thriller","Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","John Turturro, John Goodman, Judy Davis","In the wake of his early but undeniable theatrical success in Broadway, the idealistic author of the proletariat and self-pitying 1940s New York playwright, Barton Fink, finds himself lured to dazzling Hollywood to write scripts for eccentric Jack Lipnick's Capitol Pictures. But, instead of writing a story pivoting around the common man, Fink's first screenplay turns out to be a Wallace Beery wrestling movie, and, before he knows it, he develops a severe case of writer's block. Now, holed up in the seedy, run-down Hotel Earle, before his silent Underwood typewriter, Barton comes to realise that his only hope to meet the deadline is to take inspiration from the burly insurance salesman living next door, Charlie Meadows, and the unassuming secretary, Audrey Taylor. In the meantime, the suffocating stranglehold of artistic bankruptcy tightens. Does self-destructive Barton Fink have the stomach for confronting Hollywood's bitter reality?",English,"United Kingdom, United States",Nominated for 3 Oscars. 19 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BNDc1YWRjODItNGZjNS00MDI4LTliYWYtNDdjZjI3ZWYzNzM4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.6,"133,081",tt0101410,movie,N/A,"$6,153,939",N/A,N/A,True,CINE.pdf,
Barry Lyndon,1975,PG,18 Dec 1975,185 min,"Adventure, Drama, War",Stanley Kubrick,"Stanley Kubrick, William Makepeace Thackeray","Ryan O'Neal, Marisa Berenson, Patrick Magee","In the eighteenth century, in a small village in Ireland, Redmond Barry (Ryan O'Neal) is a young farm boy in love with his cousin Nora Brady (Gay Hamilton). When Nora gets engaged to British Captain John Quin (Leonard Rossiter), Barry challenges him to a duel of pistols. He wins and escapes to Dublin, but is robbed on the road. Without an alternative, Barry joins the British Army to fight in the Seven Years War. He deserts and is forced to join the Prussian Army, where he saves the life of his Captain and becomes his protégé and spy of Irish gambler Chevalier de Balibari (Patrick Magee). He helps Chevalier and becomes his associate until he decides to marry the wealthy Lady Lyndon (Marisa Berenson). They move to England and Barry, in his obsession of nobility, dissipates her fortune and makes a dangerous and revengeful enemy.","English, German, French","United Kingdom, United States",Won 4 Oscars. 18 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BNmM2MGQ5Y2UtYzA3ZC00ZDJlLTkwNDYtMjBmZGExZDJiN2RlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.1,"202,448",tt0072684,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Los bastardos,2018–2019,N/A,25 Oct 2018,N/A,"Action, Crime, Drama",N/A,N/A,"Albie Casiño, Kylie Verzosa, Ronaldo Valdez","Don Roman Cardinal's past reveals several sons. Separated from his true love, Soledad, believed to be dead, Roman is coupled with the duplicitous Alba. When the truth comes to light, Roman is determined to reunite his family.","Tagalog, Filipino",Philippines,N/A,https://m.media-amazon.com/images/M/MV5BYWYyNmIxMjYtNmIwZi00NzU0LTk5OWEtMjQ5ZjlhNDIxN2VhXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,42,tt21254106,series,,,,,True,CINE.pdf,N/A
Bella,2006,PG-13,30 Nov 2007,91 min,"Drama, Romance",Alejandro Monteverde,"Alejandro Monteverde, Patrick Million, Leo Severino","Eduardo Verástegui, Tammy Blanchard, Manny Perez","An international soccer star is on his way to sign a multimillion-dollar contract when a series of events unfold that bring his career to an abrupt end. A beautiful waitress, struggling to make it in New York City, discovers something about herself that she's unprepared for. In one irreversible moment, their lives are turned upside down... until a simple gesture of kindness brings them both together, turning an ordinary day to an unforgettable experience.","English, Spanish","United States, Mexico",6 wins,https://m.media-amazon.com/images/M/MV5BNzI4OTYwOTg0MF5BMl5BanBnXkFtZTcwMTM1MjUyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,7.1,"11,097",tt0482463,movie,N/A,"$8,070,537",N/A,N/A,True,CINE.pdf,
Planeta bur,1962,N/A,14 Apr 1962,78 min,"Adventure, Sci-Fi",Pavel Klushantsev,"Aleksandr Kazantsev, Pavel Klushantsev","Vladimir Emelyanov, Georgi Zhzhyonov, Gennadi Vernov","Cosmonauts land on the planet Venus. However, they find themselves in danger from the voracious monsters they find on it.",Russian,Soviet Union,N/A,https://m.media-amazon.com/images/M/MV5BYjdhNzM5YjItNTBkZi00NTZjLWExNTctNGQ5ZDFiNWZiOGMyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"1,511",tt0056352,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Beethoven,1992,PG,03 Apr 1992,87 min,"Comedy, Drama, Family",Brian Levant,"John Hughes, Amy Holden Jones","Charles Grodin, Bonnie Hunt, Dean Jones","The Newton family live in their comfortable home, but there seems to something missing. This ""hole"" is filled by a small puppy, who walks into their home and their lives. Beethoven, as he is named, grows into a giant of a dog... a St Bernard. Doctor Varnick, the local vet has a secret and horrible sideline, which requires lots of dogs for experiments. Beethoven is on the bad doctor's list.",English,United States,1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOGI2ODdkZDItNTYwMy00NmQyLTg2ZjgtZWQ4YmU5YzllYzNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}]",N/A,5.7,"79,663",tt0103786,movie,N/A,"$57,114,049",N/A,N/A,True,CINE.pdf,
La bella y la bestia,1990,N/A,N/A,45 min,"Drama, Fantasy, Mystery",Ana Luisa Montes de Oca,Ana Luisa Montes de Oca,"Alejandra Caicedo, Hector Palacios, Veronica Zauce",N/A,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNWM5ODVmOTctZjJlNS00MzE4LWIxMzgtNjVhMGYxYmVkODZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,73,tt0471093,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
"Inju, la bête dans l'ombre",2008,N/A,03 Sep 2008,105 min,"Mystery, Thriller",Barbet Schroeder,"Rampo Edogawa, Jean-Armand Bougrelle, Franck Ribière","Benoît Magimel, Lika Minamoto, Gen Shimaoka","The writer and college professor, Alexandre Fayard, researches and gives lectures about the gruesome literary work of the mysterious Japanese writer Shundei Oe, considered by him to be the master of manipulation. In his underground detective novels, evil always prevails and Shundei Oe has never allowed anyone to see his face. His only image available is a frightening picture on the back of his best-sellers. Alex travels to Kyoto to promote his successful detective story that follows the same style of the Shundei Oe but with a positive message instead. He meets with his publisher, Ken Honda, from the publishing house Hakubunkan. While in an interview in a TV show, Alex receives a phone call from Shundei Oe that advises him to return to Paris, and Alex believes it is a marketing strategy of Ken. Then Alex and Ken go to a tea house where he meets the Masochist geisha Tamao, and Alex has a crush on her. Tamao discloses to Alex that she knows Shundei Oe and his real name is Hichiro Irata; further they were lovers when she rejected his proposal many years ago. From this moment on, Hichiro Irata loathed her and vanished. When she got pregnant by the wealthy and powerful business man Ryuji Mogi, Shundei Oe returned and stalked her. Alex decides to help Tamao and Ryuji Mogi against the menace of the deranged writer, and his mind is blurred between fiction and reality in dreadful nightmares.","French, Japanese, English","France, Japan",1 nomination,https://m.media-amazon.com/images/M/MV5BMjM0Nzc3NjM5Ml5BMl5BanBnXkFtZTgwMzA4NTAzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,964,tt0818110,movie,N/A,N/A,N/A,N/A,True,CINE.pdf,
Ben-Hur,1959,G,18 Nov 1959,212 min,"Adventure, Drama",William Wyler,"Lew Wallace, Karl Tunberg, Maxwell Anderson","Charlton Heston, Jack Hawkins, Stephen Boyd","Judah Ben-Hur lives as a rich Jewish prince and merchant in Jerusalem at the beginning of the 1st century. Together with the new governor his old friend Messala arrives as commanding officer of the Roman legions. At first they are happy to meet after a long time but their different politic views separate them. During the welcome parade a roof tile falls down from Judah's house and injures the governor. Although Messala knows they are not guilty, he sends Judah to the galleys and throws his mother and sister into prison. But Judah swears to come back and take revenge.",English,United States,Won 11 Oscars. 29 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNjg2M2E1YzYtOThmMC00NjAyLWI5MzgtMDEwOGFiODdlOGUzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,8.1,"269,891",tt0052618,movie,N/A,"$74,432,704",N/A,N/A,True,CINE.pdf,
