Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Rom,2019,N/A,31 Jul 2020,79 min,"Crime, Drama",Tran Thanh Huy,Tran Thanh Huy,"Tran Anh Khoa, Anh Tu, Jayvee Mai The Hiep","Movie story revolves around the life, fate of street children, homeless, specializing in selling lottery results every afternoon.",Vietnamese,Vietnam,4 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BYmNjYjc2YmItYzI1Ny00ZjA3LTkyNjktYzczNTU2ZGJjM2MxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,677,tt11095810,movie,N/A,N/A,N/A,N/A,True,DOCUMENTALES.pdf,
Ilustrado,2014,TV-PG,20 Oct 2014,N/A,Drama,N/A,N/A,"Alden Richards, Kylie Padilla, Eula Valdez","Near the end of the 19th century, 35-year-old Jos Rizal turned into the Philippines' most beloved hero when he was martyred by the Spanish colonial government at Bagumbayan. He died an extraordinary man of his times: renowned novelist, poet, ophthalmologist, journalist, and linguist. But behind these achievements, there remained the story of a man every Filipino can relate and connect to. Like today's overseas Filipino, Rizal needed to leave his family to fulfill his studies and career abroad, suffering from homesickness, and enduring a long-distance relationship with the woman he loved most. He was also the best example of the Filipino who came back home and used the knowledge and skills he learned abroad to help improve the lives of his family and countrymen.","Filipino, Tagalog",Philippines,N/A,https://m.media-amazon.com/images/M/MV5BNjBhOWI5NzAtNzVkOC00MTVhLThhMzMtYTA5OTkwZGVhMjkyXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,21,tt4123068,series,,,,,True,DOCUMENTALES.pdf,1
Rom,2019,N/A,31 Jul 2020,79 min,"Crime, Drama",Tran Thanh Huy,Tran Thanh Huy,"Tran Anh Khoa, Anh Tu, Jayvee Mai The Hiep","Movie story revolves around the life, fate of street children, homeless, specializing in selling lottery results every afternoon.",Vietnamese,Vietnam,4 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BYmNjYjc2YmItYzI1Ny00ZjA3LTkyNjktYzczNTU2ZGJjM2MxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,677,tt11095810,movie,N/A,N/A,N/A,N/A,True,DOCUMENTALES.pdf,
Aportaciones a la antropología en México. Larissa Adler,2010,N/A,19 Apr 2010,27 min,Short,Victor Manuel Mendez,Victor Manuel Mendez (screenplay),N/A,N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt1649282,movie,N/A,N/A,N/A,N/A,True,DOCUMENTALES.pdf,
¡Que viva México!,2023,R,23 Mar 2023,191 min,Comedy,Luis Estrada,"Luis Estrada, Jaime Sampietro","Damián Alcázar, Alfonso Herrera, Joaquín Cosio","After his grandfather's death, a man travels with his wife and kids to his hometown, where chaos ensues with his relatives over the inheritance.",Spanish,Mexico,2 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BNGFkZjgxNGMtYWU3NS00MjlhLTg2ZDgtY2MxOGY3MTU4ZGQzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,"2,544",tt22185848,movie,N/A,"$161,222",N/A,N/A,True,DOCUMENTALES.pdf,
Diciembre,2014,N/A,01 Apr 2014,13 min,Short,Bernabé Demozzi,Bernabé Demozzi,"Mónica Lairana, Lucio Santilli, Natalia González Steblak",N/A,Spanish,Argentina,N/A,https://m.media-amazon.com/images/M/MV5BOThiOWZlODAtNjJjZS00NTMzLTkzYmYtYzAyMjg1ZTlmMzViXkEyXkFqcGdeQXVyNDUyODU5OTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,6,tt3713374,movie,N/A,N/A,N/A,N/A,True,DOCUMENTALES.pdf,
Internacionales en Palestina,2005,N/A,01 Oct 2005,54 min,Documentary,"Alberto Arce, María Moreno","Alberto Arce, María Moreno",N/A,N/A,Spanish,"Palestine, Spain",N/A,N/A,[],N/A,N/A,N/A,tt0486124,movie,N/A,N/A,N/A,N/A,True,DOCUMENTALES.pdf,
Los días de junio,1985,N/A,13 Jun 1985,90 min,"Comedy, Drama",Alberto Fischerman,"Alberto Fischerman, Gustavo Wagner","Guido Almerighi, Mercedes Alonso, José Andrada","Buenos Aires, June 1982. Emilio, an actor, returns to Argentina after 8 years of exile, and reunites with three friends. As the Falklands War draws to a conclusion, the four friends share old and new joys and sorrows.",Spanish,Argentina,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYzkyYjQ3ZjEtYjUxYy00YWRjLTkxZmMtOTljNDcwYjM4OTM5XkEyXkFqcGdeQXVyMTI4NTcwNTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,24,tt0087187,movie,N/A,N/A,N/A,N/A,True,DOCUMENTALES.pdf,
La Suprema Corte de Justicia de la Nación I: Tribunal Constitucional de México,2006,N/A,N/A,43 min,Documentary,N/A,N/A,N/A,This program presents the history of the Supreme Court of Justice from the years following Mexico's independence to the present day. It considers the importance that it has had throughout ...,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BMWZjZjgxYzYtODgyNy00OTJiLTkwMDctZTY5M2UwNGE4MDc5XkEyXkFqcGdeQXVyNzk3MjM1NDA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt7670188,series,,,,,True,DOCUMENTALES.pdf,N/A
El siglo de Galdós,2020,N/A,30 Oct 2020,94 min,Documentary,Miguel Ángel Calvo Buttini,Álvaro Lion Depetre,"Ana Belén, Almudena Grandes, Laila Ripoll","Galdós is, was and will be an extraordinary writer who revolutionized the narrative between 1860 and 1920. A documentary with touchs of fiction focussed on his most personal facet.",Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BZjI4YjdiOTktNjhkZC00NDA4LTgyZWQtM2JjZTViYWNlZGZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,22,tt11847556,movie,N/A,N/A,N/A,N/A,True,DOCUMENTALES.pdf,
Distrito federal,1966,N/A,N/A,N/A,"Documentary, Short","Demetrio Bilbatua, Ángel Bilbatúa",N/A,N/A,N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt0463498,movie,N/A,N/A,N/A,N/A,True,DOCUMENTALES.pdf,
Universal Soldier,1992,R,10 Jul 1992,102 min,"Action, Sci-Fi",Roland Emmerich,"Richard Rothstein, Christopher Leitch, Dean Devlin","Jean-Claude Van Damme, Dolph Lundgren, Ally Walker","An elite team of soldiers has been used against terrorists where they use astounding physical capabilities to overcome them. Victoria, a reporter, follows them and discovers a part of their secret. When one of the team kills her cameraman she tries to escape. Luc, one of the soldiers begins to have flashbacks and turns sides and helps her as the remainder of the team follows to protect their secrets.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTdmYzQ1YzYtMjFlYi00NGU2LWE2YTEtZDljMWNmYzBhMzFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.1,"100,384",tt0105698,movie,N/A,"$36,299,898",N/A,N/A,True,DOCUMENTALES.pdf,
Lagos,2009,N/A,N/A,90 min,Documentary,N/A,N/A,N/A,N/A,German,Germany,N/A,N/A,[],N/A,N/A,N/A,tt1664676,movie,N/A,N/A,N/A,N/A,True,DOCUMENTALES.pdf,
