Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Idiomas (Aprender a Adaptarse),2014,N/A,01 Nov 2014,N/A,"Documentary, Short","Violeta Artacho, Carlos Martín Pazo",N/A,N/A,N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BNTNlOTIwYTktZmZmNi00OWQxLTkzMzUtOTk3OThhNDVmMDEzXkEyXkFqcGdeQXVyMTI2MjkyNzMx._V1_SX300.jpg,[],N/A,N/A,N/A,tt4261234,movie,N/A,N/A,N/A,N/A,True,IDIOMAS.pdf,
Contacto,2006–,N/A,16 Jan 2006,60 min,Talk-Show,N/A,N/A,"Nuno Graciano, Rita Ferro Rodrigues, Maya",N/A,Portuguese,Portugal,N/A,https://m.media-amazon.com/images/M/MV5BM2I5ZGNkMzktZmI5Ni00NTQ0LWI5MmEtNmNlMzUxOWNjZmIzXkEyXkFqcGdeQXVyNDg5MjMyMTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}]",N/A,3.4,23,tt0876209,series,,,,,True,IDIOMAS.pdf,1
Café de chinos,1949,N/A,02 Sep 1949,107 min,"Comedy, Drama",Joselito Rodríguez,"Carlos Orellana, Joselito Rodríguez","Abel Salazar, Amanda del Llano, Carlos Orellana",N/A,Spanish,Mexico,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,14,tt0255861,movie,N/A,N/A,N/A,N/A,True,IDIOMAS.pdf,
Esencial,2021,N/A,23 Aug 2021,90 min,Drama,Marcelo Politano,"Lucia Epherra, Marcelo Politano","Emilia Attías, Turco Naim, Gastón Pauls",N/A,Spanish,Argentina,N/A,https://m.media-amazon.com/images/M/MV5BZmQ2ZTdmMDYtNDZhNS00MmE0LThmNDUtOTA1ZTBhNzJjZDc0XkEyXkFqcGdeQXVyNTg3NjU0OTk@._V1_SX300.jpg,[],N/A,N/A,9,tt15251796,movie,N/A,N/A,N/A,N/A,True,IDIOMAS.pdf,
Un lujo a su alcance,1975,N/A,10 Mar 1975,83 min,Comedy,Ramón Fernández,Juan José Alonso Millán,"Arturo Fernández, Concha Velasco, Nadiuska","Miguel is a masseur and is married to Marta. Between the two of them they have set up a beauty institute called ""Beautiful"" and Marta, as director of the institute, makes Miguel work to exhausting extremes.",Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BMjUyOTIxODctYWFkZS00M2UzLThkZWQtNjFkMGEyOTY0NWU2XkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,43,tt0073318,movie,N/A,N/A,N/A,N/A,True,IDIOMAS.pdf,
Advanced English: Interviews with the Famous,1995–1999,N/A,01 Jan 1995,20 min,Talk-Show,N/A,N/A,"Gloria Allred, Pat Boone, Susan Carpenter-McMillan, Gary Chapman",N/A,"Japanese, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,5,tt0924521,series,,,,,True,IDIOMAS.pdf,N/A
La Teacher de Inglés,2011–,N/A,08 Jan 2011,N/A,Comedy,N/A,N/A,"Valeria Chagüi, Isabel Cristina Estrada, Dora Cadavid","Enrique, ""Kike"", is an owner of a women's under garments factory. He hires Pilar to teach him English so he can do business in the U. S. He develops feelings for Pilar.",Spanish,Colombia,N/A,https://m.media-amazon.com/images/M/MV5BMWI2MDI5MjAtMzgyMi00YmY2LWJjZTItMzc1MzQ2N2E1ZWEyXkEyXkFqcGdeQXVyMzM0NTc2MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,37,tt1848153,series,,,,,True,IDIOMAS.pdf,1
Malibú,2021,N/A,19 Sep 2021,108 min,Drama,Víctor Velázquez,Víctor Velázquez,"Tiago Correa, Marisol Rivera, Fernando Álvarez Rebeil","Gloria is experiencing a major life crisis after her unfaithful husband has left her on the street, she is being sexually harassed at work, and she is about to lose her job. Seething and reeling, Gloria finds herself in a dramatic car crash with Ernesto, who makes a living by causing traffic accidents in his 1982 Chevy Malibu. They seem to be just right for each other; nevertheless, Gloria's sudden arrival in Ernesto's universe will cause a cataclysm that will change their lives forever.",Spanish,Mexico,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZWQ4M2NiYjctNGIzOC00YzU5LTk1MGYtOWUwNDRlZTU1MzZmXkEyXkFqcGdeQXVyMTM0NzY0ODYw._V1_SX300.jpg,[],N/A,N/A,21,tt13535964,movie,N/A,N/A,N/A,N/A,True,IDIOMAS.pdf,
Libro,2009,N/A,01 Oct 2009,N/A,"Animation, Short",Pablo Delfini,"Pablo Delfini, Luis Guillermo González",N/A,N/A,Spanish,Argentina,N/A,N/A,[],N/A,N/A,N/A,tt1521014,movie,N/A,N/A,N/A,N/A,True,IDIOMAS.pdf,
iZone 1: Interactive English,2010,N/A,N/A,N/A,Short,Todd Rucynski,N/A,"Ashley Bates, Josh Beyers, Matt DuMont, Jennifer Kersey",N/A,English,Hong Kong,N/A,N/A,[],N/A,N/A,N/A,tt3421322,movie,N/A,N/A,N/A,N/A,True,IDIOMAS.pdf,
