Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
My Beautiful Homeland,2019,N/A,19 Aug 2019,N/A,"Short, Music",Peter Halmi,Peter Halmi,"Peter Halmi, Ferenc László, Attila Németh",N/A,Hungarian,Hungary,N/A,https://m.media-amazon.com/images/M/MV5BNGQwNWVkNDgtZjA3NC00MTNmLTgxMDktOTc5N2I4ZTNhYTAzXkEyXkFqcGdeQXVyMjA0OTA1MzY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10770244,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
Beijing,2009,N/A,31 Oct 2009,85 min,Documentary,Sarah Morris,N/A,"George W. Bush, Jackie Chan, Bingbing Fan",N/A,English,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,17,tt1584916,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
Baseball Boys,2008,N/A,01 Nov 2008,86 min,Documentary,"Ching-Yao Liao, Ko-shang Shen","Ching-Yao Liao, Ko-shang Shen",N/A,"Everyone has his own unique childhood memories, be it a fight with your best friend, or a chasing game with neighbors around the house, or the moment that you just can't remember how much is 9 minus 6. For a group of native young ...",N/A,Taiwan,1 nomination,https://m.media-amazon.com/images/M/MV5BYTk0MTM2OGQtZWFkOS00N2RjLTg2NjctZWNhZTJiZDFlZWFmL2ltYWdlXkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg,[],N/A,N/A,8,tt1562270,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
Cell Phone,2003,N/A,18 Dec 2003,107 min,"Drama, Comedy",Xiaogang Feng,Zhenyun Liu,"You Ge, Fan Xu, Guoli Zhang","Follows the story of a television host who's hidden so much personal and secret information on his phone, that when it gets out, catastrophe strikes.",Mandarin,China,8 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BZTY3ZGJmMmYtNDhjNS00OGJkLTlkNjctZWQ0MGZhZjI1OTk2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"1,580",tt0399650,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
Gada Meilin,2002,N/A,25 Aug 2002,109 min,"Action, Adventure, Drama",Xiaoning Feng,Xiaoning Feng,"Deligeer, Eddie Eagle, Ebusi","Heroic and love story of Mongolian warrior Gada who won the title of ""Meilin"" for his bravery and loyalty.",Mandarin,China,3 wins total,https://m.media-amazon.com/images/M/MV5BNzU1OWM2Y2MtZGQwNC00NWE3LTkwNzQtZWRiNTQ4OGI0OTVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,71,tt0367765,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
Genghis Khan,1965,Approved,23 Jun 1965,120 min,"Adventure, Drama, History",Henry Levin,"Clarke Reynolds, Beverley Cross, Berkely Mather","Stephen Boyd, Omar Sharif, James Mason","Mostly fictionalized account of the life of Genghis Khan (Omar Sharif), the Mongol warlord whose thirteenth century armies conquered much of the known world. Named Temujin (Carlo Cura), he was taken prisoner by the rival warlord Jamuga (Stephen Boyd), and as punishment, was forced to wear a large round wooden stock that severely restricted his movements. With the help of two supporters, the wiseman Geen (Sir Michael Hordern) and the strongman Sengal (Woody Strode), he manages to escape. He now begins his quest to unify all of the Mongol tribes. He faces great success, but his old nemesis Jamuga keeps appearing at various times in his life, leading to a final battle between the two.",English,"United Kingdom, West Germany, Yugoslavia, United States",N/A,https://m.media-amazon.com/images/M/MV5BNmU0M2VkY2YtNGY1NS00MDI2LTkxM2YtNzg3MmNlNmJmNDI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"2,615",tt0059219,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
Gimme Kudos,2005,N/A,17 Jun 2005,95 min,Comedy,Jianxin Huang,"Yi Fan, Jianxin Huang, Zhenyun Liu","Zhiwen Wang, Wei Fan, Hao Chen","Old-fashioned, middle-aged Yang Hongqi claims that on a rainy night he saved a university coed from the threat of sexual violence on the outer limits of Nanjing city. He soon begs Gu Guoge, a superstar reporter at Nanjing Newspaper, for public kudos in the press. At first Gu ignores the absurd request, but pushed by Yang's desperate and tenacious attitude Gu begins to look at verifying the case. Finally he finds the victim, Ouyang Hua but no witness. Later, it is revealed why Yang strives so desperately to publicize his heroics: extolled as a model of a national laborer, his father has lived with many medals and commendations on the wall of his hometown and wants to hang Yang's commendation on the wall before his death.",Mandarin,China,6 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYzdlM2RmZDctYzVjNC00OTgxLWI0ZTUtMDIzN2VhMGI4MmM1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,207,tt0487942,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
Heroic Duo,2003,R,31 Jul 2003,100 min,"Action, Crime, Thriller",Benny Chan,"Alan Yuen, Adrian Kwan","Leon Lai, Ekin Cheng, Francis Ng","Tough cop Ken Li (Cheng) is at the top of his game, but he's going to need some help to solve a grisly crime that the offender, a respected police officer, doesn't even remember committing. He seeks out Jack Lai (Lai), a former psychologist now in disgrace and behind bars, who has an uncanny ability to bend people to his will. Making an uneasy truce, this unconventional pair set out on a mission to find the man responsible, a master of hypnotism who will stop at nothing to get his revenge.","Cantonese, English, Mandarin",Hong Kong,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BYmRlZjg0Y2MtYmE3Ny00ODRjLWE0MGUtZDk0YTJjNTQ0ZTRkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,898,tt0379985,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
Honeymoon,2014,R,12 Sep 2014,87 min,"Drama, Fantasy, Horror",Leigh Janiak,"Phil Graziadei, Leigh Janiak","Rose Leslie, Harry Treadaway, Ben Huber","Young newlyweds Paul and Bea travel to remote lake country for their honeymoon. Shortly after arriving, Paul finds Bea wandering and disoriented in the middle of the night. As she becomes more distant and her behavior increasingly peculiar, Paul begins to suspect something more sinister than sleepwalking took place in the woods.",English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BMjI2MzA0NTk2NF5BMl5BanBnXkFtZTgwMzk2Njc0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,5.7,"27,810",tt3177316,movie,N/A,"$9,318",N/A,N/A,True,PELICULAS CHINAS.pdf,
Orphan,2009,R,24 Jul 2009,123 min,"Horror, Mystery, Thriller",Jaume Collet-Serra,"David Leslie Johnson-McGoldrick, Alex Mace","Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman","Kate and John Coleman are rebuilding their troubled marriage after the loss of their baby. The couple decide to adopt a child. When they meet 9-year-old Esther at the St. Marina Orphanage, they immediately fall in love with the well-educated orphan. Their son, Daniel is hostile to his new sister, but their deaf mute daughter, Max is enchanted with her - at first. Eventually, Kate begins to feel that Esther is manipulative and possibly even psychologically damaged. John refuses to listen to his wife's misgivings. Kate calls Sister Abigail at the orphanage, and the nun informs her that Esther has a troubled and mysterious history. Kate delves further into Esther's past and discovers she is not what she seems to be.","English, American Sign , Estonian","Canada, United States, Germany, France",1 win & 7 nominations total,https://m.media-amazon.com/images/M/MV5BYjc1Y2M4ZmQtMTA2NC00OTUwLTgxZDMtZDJmNTk1OTU4Njk4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,7.0,"275,505",tt1148204,movie,N/A,"$41,596,251",N/A,N/A,True,PELICULAS CHINAS.pdf,
