Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Abracadabra,2017,R,15 Sep 2017,96 min,"Comedy, Drama, Fantasy",Pablo Berger,Pablo Berger,"Maribel Verdú, Antonio de la Torre, Priscilla Delgado","Carmen is a housewife from Madrid mother of teen Toñi and married with the macho man and obsessed with soccer Carlos, which her daily life complicating due to the abusive character of Carlos. During the party after a wedding of Carmen's nephew, her cousin Pepe decides prove his abilities as showman with a hypnosis session. After Carlos mocks Pepe in front of all invited, a ghost possesses Carlos, suffering strange and radical changes of attitudes and behaviors. Meeting with Pepe, Carmen looking for answers to discover what's happening. Helped by Prof. Fumetti, Pepe's mentor, Carmen realizes that Carlos is possessed by the spirit of Tito, a schizophrenic young man who in early 80's killed his own mother and a several assistants to a wedding party before commit suicide in the same restaurant where he worked and where Carmen's nephew celebrated his party. With time running out, Carmen and Pepe try to exorcise the evil spirit before Carlos be totally annulled by Tito, at the same time that the own Carlos starts to suffer the consequences to be under the influence of a schizophrenic ghost.",Spanish,"Spain, France, Belgium",2 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BN2VlZDc3OTUtNzU3Zi00ZDA3LThiOTYtNjQ3ZWIxNDY1ZDFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,5.7,"2,710",tt5187886,movie,N/A,"$13,975",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Art Attack,1990–2007,TV-Y7,15 Jun 1990,N/A,"Documentary, Family",N/A,N/A,"Neil Buchanan, Francis Wright, Jim Sweeney","In this series, artist Neil Buchanan presents various suggestions for kids about various neat art projects they can create with everyday items they can find at home. In addition, Buchanan has location segments where he is inspired to have a Big Art Attack where he arranges ordinary items to create giant pictures.",English,United Kingdom,Won 1 BAFTA Award1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BYWI5MjhiYzgtN2MyNi00YTc3LThhOWItYWYwMGY5NWM5ZTEyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"3,167",tt0313033,series,,,,,True,PELICULAS INFANTILES.pdf,20
Bambi,1942,Approved,21 Aug 1942,69 min,"Animation, Adventure, Drama","James Algar, Samuel Armstrong, David Hand","Felix Salten, Perce Pearce, Larry Morey","Hardie Albright, Stan Alexander, Bobette Audrey","It's spring, and all the animals of the forest are excited by the forest's latest birth, a buck fawn his mother has named Bambi. The animals are more excited than usual as Bambi's lineage means he will inherit the title of prince of the forest. Along with his mother, Bambi navigates through life with the help of his similarly aged friends, Thumper, a rabbit kit who needs to be continually reminded by his mother of all the lessons his father has taught him about how to live as a rabbit properly, and Flower, a skunk kit who likes his name. As different animals, they have their own issues and challenges which may not translate to the others. Being similarly aged, Bambi, Thumper and Flower may have to experience the uncharted phases of their lives without the knowledge or wisdom unless gleaned from those who have gone through them before. Bambi has to learn early that the lives of deer and of many of the other forest animals are not without their inherent dangers, for deer especially in the beautiful albeit exposed meadow. Bambi will also find that his ascension to prince of the forest is not a guarantee as other buck deer and situations may threaten that ascension.",English,United States,Nominated for 3 Oscars. 7 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTIyZDk5NDItZmU5Yy00N2Y5LWI2ZDItMzEyZDhiYjI3MDdmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,7.3,"163,247",tt0034492,movie,N/A,"$102,247,150",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Bee Movie,2007,PG,02 Nov 2007,91 min,"Animation, Adventure, Comedy","Simon J. Smith, Steve Hickner","Jerry Seinfeld, Spike Feresten, Barry Marder","Jerry Seinfeld, Renée Zellweger, Matthew Broderick","When the bee Barry B. Benson (Jerry Seinfeld) graduates from college, he finds that he will have only one job for his entire life, and absolutely disappointed, he joins the team responsible for bringing the honey and pollination of the flowers to visit the world outside the hive. Once in Manhattan, he is saved by florist Vanessa Bloome (Renée Zellweger) and he breaks the bee law to thank Vanessa. They become friends and Barry discovers that humans exploit bees to sell the honey they produce. Barry decides to sue the human race, with destructive consequences to nature.",English,United States,1 win & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMjE1MDYxOTA4MF5BMl5BanBnXkFtZTcwMDE0MDUzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.1,"195,239",tt0389790,movie,N/A,"$126,631,277",N/A,N/A,True,PELICULAS INFANTILES.pdf,
The Boxtrolls,2014,PG,26 Sep 2014,96 min,"Animation, Adventure, Comedy","Graham Annable, Anthony Stacchi","Irena Brignull, Adam Pava, Alan Snow","Ben Kingsley, Jared Harris, Nick Frost","THE BOXTROLLS are a community of quirky, mischievous creatures who have lovingly raised an orphaned human boy named Eggs in the amazing cavernous home they've built beneath the streets of a city called Cheesebridge. The story is about a young orphaned boy raised by underground cave-dwelling trash collectors who tries to save his friends from an evil exterminator, the town's villain, Archibald Snatcher. When Snatcher comes up with a plot to get rid of the Boxtrolls. Eggs decides to venture above ground and ""into the light,"" where he meets and teams up with fabulously feisty Winnie. Together, they devise a daring plan to save The BoxTrolls family. The film is based upon the children's novel 'Here Be Monsters' by Alan Snow.",English,"United States, Canada",Nominated for 1 Oscar. 8 wins & 61 nominations total,https://m.media-amazon.com/images/M/MV5BMTQxODA5MDkyNV5BMl5BanBnXkFtZTgwMDMyNjkzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.8,"64,639",tt0787474,movie,N/A,"$50,837,305",N/A,N/A,True,PELICULAS INFANTILES.pdf,
La bella y la bestia,1990,N/A,N/A,45 min,"Drama, Fantasy, Mystery",Ana Luisa Montes de Oca,Ana Luisa Montes de Oca,"Alejandra Caicedo, Hector Palacios, Veronica Zauce",N/A,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNWM5ODVmOTctZjJlNS00MzE4LWIxMzgtNjVhMGYxYmVkODZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,73,tt0471093,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Cars,2006,G,09 Jun 2006,116 min,"Animation, Adventure, Comedy","John Lasseter, Joe Ranft","Dan Fogelman, John Lasseter, Joe Ranft","Owen Wilson, Bonnie Hunt, Paul Newman","While traveling to California for the dispute of the final race of the Piston Cup against The King and Chick Hicks, the famous Lightning McQueen accidentally damages the road of the small town Radiator Springs and is sentenced to repair it. Lightning McQueen has to work hard and finds friendship and love in the simple locals, changing its values during his stay in the small town and becoming a true winner.","English, Italian, Japanese, Yiddish",United States,Nominated for 2 Oscars. 28 wins & 34 nominations total,https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.3,"528,959",tt0317219,movie,N/A,"$244,082,982",N/A,N/A,True,PELICULAS INFANTILES.pdf,
La cenicienta,2003–,N/A,N/A,N/A,Reality-TV,N/A,N/A,"Laz Alonso, Eva Tamargo, Rafael Riera",N/A,Spanish,United States,1 win,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,9,tt0365995,series,,,,,True,PELICULAS INFANTILES.pdf,1
Baby Einstein,1997–,TV-Y,31 Jan 1997,N/A,Family,N/A,Julie Aigner-Clark,"Julie Aigner-Clark, Dave Privett, June Privett","TV Videos aimed at preschoolers. A Highly-Integrated cast of children interact with puppets and toys, often adding classical music.","English, Spanish, French, German, Chinese, Hebrew","United States, United Kingdom, Canada, Australia",N/A,https://m.media-amazon.com/images/M/MV5BYTU0MWQzMTQtODU3MC00NGZmLThiOWMtZTEyOTM3NzMwMjlhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,93,tt9808494,series,,,,,True,PELICULAS INFANTILES.pdf,6
Chicken Little,2005,G,04 Nov 2005,81 min,"Animation, Adventure, Comedy",Mark Dindal,"Mark Dindal, Mark Kennedy, Steve Bencich","Zach Braff, Joan Cusack, Garry Marshall","Ridiculed by the animal inhabitants of the peaceful Oakey Oaks community for his absurd notion that the sky is falling, the well-meaning young chicken, Chicken Little, promises to prove everyone wrong. However, one year later, there's still nothing on the horizon to justify Little's fears, when, out of the blue, the humiliated boy finally stumbles upon a real piece of evidence. Is Chicken Little and his loyal band of outcasts really on to something big this time?",English,United States,4 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMTM3MTIzMDQxMV5BMl5BanBnXkFtZTYwNTE0Mjg3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,5.7,"106,831",tt0371606,movie,N/A,"$135,386,665",N/A,N/A,True,PELICULAS INFANTILES.pdf,
