Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginalTitle,totalSeasons
The Aristocats,1970,G,24 Dec 1970,78 min,"Animation, Adventure, Comedy",Wolfgang Reitherman,"Larry Clemmons, Vance Gerry, Ken Anderson","Phil Harris, Eva Gabor, Sterling Holloway","Retired opera star Adelaide Bonfamille enjoys the good life in her Paris villa with even classier cat Duchess and three kittens: pianist Berlioz, painter Toulouse and sanctimonious Marie. When loyal butler Edgar overhears her will leaves everything to the cats until their death, he drugs and kidnaps them. However retired army dogs make his sidecar capsize on the country. Crafty stray cat Thomas O'Malley takes them under his wing back to Paris. Edgar tries to cover his tracks and catch them at return, but more animals turn on him, from the cart horse Frou-Frou to the tame mouse Roquefort and O'Malley's jazz friends.",English,United States,3 wins total,https://m.media-amazon.com/images/M/MV5BMTU1MzM0MjcxMF5BMl5BanBnXkFtZTgwODQ0MzcxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.1,"123,770",tt0065421,movie,N/A,"$59,000,000",N/A,N/A,True,"""Aristogatos, Los""",
Catch-Em Lane,2015,N/A,N/A,19 min,"Short, Comedy",Mark Maness,Mark Maness,"Natalie Canerday, Ryk St. Vincent, Fran Kelly, Chad Bradford","Aging bass fishing legend Mark Davis is convinced by his wife Tilly to write a book about his life and times growing up in the small town of Mt. Ida, Arkansas.",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt5106568,movie,N/A,N/A,N/A,N/A,True,Atrapenlos!,
Barney: The Land of Make Believe,2005,TV-G,30 Aug 2005,54 min,Family,Fred Holmes,"Stephen White, Sheryl Leach (originally developed by), Kathy Parker (originally developed by), Dennis DeShazer (originally developed by)","Dean Wendt, Carey Stinson, Julie Johnson, Jeff Ayers","Barney, BJ, Baby Bop and their new friends discover anything can happen in The Land of Make Believe. When a puzzled young princess from a storybook magically appears, the group begins a ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTgzNDYzMzY5NF5BMl5BanBnXkFtZTgwNjc2MDA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,51,tt0476521,movie,30 Aug 2005,N/A,LionsGate Entertainment,N/A,True,Barney y su mundo de colores en sala,
Barbie in the Nutcracker,2001,TV-Y,02 Oct 2001,76 min,"Animation, Family, Musical, Romance",Owen Hurley,"Linda Engelsiepen, Hilary Hinkle, Rob Hudnut, E.T.A. Hoffmann (story), Ruth Handler (characters)","Kelly Sheridan, Kirby Morrow, Tim Curry, Peter Kelamis","Barbie (Kelly Sheridan) shows that if you are kind, clever and brave, anything is possible in this tale of Clara (Kelly Sheridan) and her amazing Nutcracker (Kirby Morrow), who set off on an adventure to find the Sugarplum Princess.",English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTk0Y2E2MjgtZDBhNi00OTQ3LTkyYzAtNTdmNzRhYTczZWI2XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"5,551",tt0288441,movie,N/A,N/A,N/A,N/A,True,Barbie en el Cascanueces,
Arthur and the Invisibles,2006,PG,12 Jan 2007,94 min,"Animation, Adventure, Comedy",Luc Besson,"Céline Garcia, Luc Besson, Patrice Garcia","Freddie Highmore, Mia Farrow, Madonna","Arthur is a spirited ten-year old whose parents are away looking for work, whose eccentric grandfather has been missing for several years, and who lives with his grandmother in a country house that, in two days, will be repossessed, torn down, and turned into a block of flats unless Arthur's grandfather returns to sign some papers and pay off the family debt. Arthur discovers that the key to success lies in his own descent into the land of the Minimoys, creatures no larger than a tooth, whom his grandfather helped relocate to their garden. Somewhere among them is hidden a pile of rubies, too. Can Arthur be of stout heart and save the day? Romance beckons as well, and a villain lurks.","French, English","France, United States, United Kingdom",1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOTYxOGIxMTEtZGNhMi00ZWQ5LTg1YWItNDUzMzAwMDZhZmUxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,6.0,"43,300",tt0344854,movie,N/A,"$15,132,763",N/A,N/A,True,Arthur y lo invisibles,
Babar: King of the Elephants,1999,G,26 Feb 1999,80 min,"Family, Animation",Raymond Jafelice,"Jean de Brunhoff, Laurent de Brunhoff, Raymond Jafelice","Philip Williams, Wayne Robson, Ellen-Ray Hennessy","Babar is a young elephant in the great forest. Whilst out with his mother a hunter kills his mother and he flees to escape the same fate. He eventually finds himself in a human city and experiences the many differences between city and forest life. Generally treated as an outsider he is taken in by an elderly woman, dressed in fancy suits, taught to write and count and is brought up in human culture. Later in life his friends Celeste and Arthur stumble into the city and find him - previously assuming he was also killed by the hunter. Babar dresses them and treats them to the comforts of his world until more elephants arrive to bring them back. The three elephants return by car to the great forest. Soon after Arthur sparks a war with the neighbouring Rhino tribe but peace is formed due to quick thinking by Babar. After this Babar is crowned king with Celeste his Queen. Due to his human upbringing Babar decides to alter the elephant society and builds a city and kits every elephant out in human clothing, every elephant is assigned tasks and everyone has his place. But with human culture comes problems associated with modern living. How will Babar cope with the onset of misfortune?","English, French","Canada, France, Germany",1 win,https://m.media-amazon.com/images/M/MV5BZjMyZjEzYjEtNjNhMy00MDM0LTk2MmUtYzViMjJjZjFjMDJkXkEyXkFqcGdeQXVyNzYyOTc1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,599,tt0166090,movie,N/A,"$227,374",N/A,N/A,True,"""Babar, el rey de los elefantes""",
Snow White and the Seven Dwarfs,1937,Approved,04 Feb 1938,83 min,"Animation, Adventure, Family","William Cottrell, David Hand, Wilfred Jackson","Jacob Grimm, Wilhelm Grimm, Ted Sears","Adriana Caselotti, Harry Stockwell, Lucille La Verne","The beautiful and kindhearted princess Snow White charms every creature in the kingdom except one - her jealous stepmother, the Queen. When the Magic Mirror proclaims Snow White the fairest one of all, she must flee into the forest, where she befriends the lovable seven dwarfs - Doc, Sneezy, Grumpy, Happy, Bashful, Sleepy, and Dopey. But when the Queen tricks Snow White with a poisoned apple and falling into a deep sleep, only the magic of true love's kiss can awaken her.",English,United States,Nominated for 1 Oscar. 13 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,7.6,"236,328",tt0029583,movie,27 Mar 2007,"$184,925,486",N/A,N/A,True,Blanca nieves y los Siete Enanos,
"Barney: Read with Me, Dance with Me",2004,N/A,01 Jan 2004,53 min,N/A,N/A,N/A,"Jeff Ayers, Makayla Crawford, Selena Gomez, Julie Johnson","Barney's friends are holding a book drive in the park, and every time they open a book, a new tale begins! Reading helps their imaginations grow and inspires them to build a make-believe rocket, put on a circus - and create their own books!",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzQ2ODA2MzEwN15BMl5BanBnXkFtZTgwNzg3NjA2MDE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt2234540,movie,N/A,N/A,N/A,N/A,True,Barney: Lee y baila conmigo en sala,
Black Beauty,1994,G,29 Jul 1994,88 min,"Adventure, Drama, Family",Caroline Thompson,"Anna Sewell, Caroline Thompson","Sean Bean, David Thewlis, Docs Keepin Time","Black Beauty, a beautiful black stallion in 1870s England, recalls his life from his birth through his carefree life as a colt to the many hardships he suffered after achieving maturity. He goes through many owners, both good and bad, until he finally finds happiness and contentment.",English,"United Kingdom, United States",1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BY2JhNzY4MGItZGExOS00NjQ2LTljN2ItZjZjNTZmZGQ4NGQzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"11,171",tt0109279,movie,N/A,"$4,630,377",N/A,N/A,True,Belleza negra,
Beetlejuice,1988,PG,30 Mar 1988,92 min,"Comedy, Fantasy",Tim Burton,"Michael McDowell, Warren Skaaren, Larry Wilson","Alec Baldwin, Geena Davis, Michael Keaton","Adam and Barbara are a normal couple...who happen to be dead. They have given their precious time to decorate their house and make it their own, but unfortunately a family is moving in, and not quietly. Adam and Barbara try to scare them out, but end up becoming the main attraction to the money making family. They call upon Beetlejuice to help, but Beetlejuice has more in mind than just helping.",English,United States,Won 1 Oscar. 7 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BYjkwNzVlNDEtMTJlNy00OTdlLTljYWItM2RkZmZkYzY3YjM2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.4,"416,001",tt0094721,movie,N/A,"$74,664,632",N/A,N/A,True,Beetlejuice super fantasma,
