Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Cavallo entre rejas,2006,N/A,26 Mar 2006,50 min,Documentary,"Shula Erenberg, Laura Imperiale, María Inés Roqué","Shula Erenberg, Laura Imperiale, María Inés Roqué",N/A,N/A,Spanish,"Mexico, Argentina, Spain",N/A,https://m.media-amazon.com/images/M/MV5BYTFjZTYwNTUtYmIwZi00ZmYyLWE3OGItNzAwYjAwY2ZhMjg5XkEyXkFqcGdeQXVyODU2NjU0NjA@._V1_SX300.jpg,[],N/A,N/A,6,tt0783686,movie,26 Aug 2008,N/A,N/A,N/A,True,PISO 7.pdf,
Ciencia y tecnología,2003–,N/A,N/A,30 min,Documentary,N/A,N/A,N/A,N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt0759084,series,,,,,True,PISO 7.pdf,N/A
Pandilla Monstruo titulo provisional,2024,N/A,28 Oct 2024,N/A,"Short, Adventure, Comedy",Axel Casas,"Axel Casas, Gaston Haag","Jordi Aguilar, Axel Casas, Gaston Haag",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BZGQyOTMzYTItZDBlZS00NDZiLWJhYTAtNDg0Yjc0ZWM0MjdmXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,5,tt29730618,movie,N/A,N/A,N/A,N/A,True,PISO 7.pdf,
Los olvidados,2018,N/A,01 Apr 2018,75 min,Documentary,Agustín Flores,N/A,"Don Cony, Kitty, Nancy","Aníbal González - ""DON CONY"", and his brother Christian González - ""KITTY"" were born and raised in Marconi neighborhood, which is considered one of the most dangerous zones of Montevideo, Uruguay. Today, they struggle to make a li...",Spanish,Uruguay,N/A,https://m.media-amazon.com/images/M/MV5BMmYwZDUyYzctMjAzMC00Y2FmLTllMGQtN2NjZjBjNWU2OTUwXkEyXkFqcGdeQXVyOTQ4Nzc4NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,5,tt8828808,movie,N/A,N/A,N/A,N/A,True,PISO 7.pdf,
Plutón y los planetas,2012,N/A,07 Sep 2012,14 min,"Short, Drama, Fantasy",Arturo Ambriz,Arturo Ambriz,"Assira Abbate, Emiliano de Los Rios, Sergio Meneses",A planet which is no longer a planet and a kid who is no longer a kid.,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNzU3NzIwNDQwNF5BMl5BanBnXkFtZTcwNzc3MTE2OA@@._V1_SX300.jpg,[],N/A,N/A,6,tt2367078,movie,N/A,N/A,N/A,N/A,True,PISO 7.pdf,
El apando,1976,N/A,05 Aug 1976,83 min,Drama,Felipe Cazals,"José Agustín, José Revueltas","Salvador Sánchez, José Carlos Ruiz, Manuel Ojeda","A jail named ""Lecumberri"" located in Mexico city, in the most infamous prison in the country, known for the harshness of its punishments and a lack of human rights. In there, three criminals orchestrate a plan to smuggle drugs into the prison, the plan consist in using the mother of one of the prisoners as a ""mule""",Spanish,Mexico,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BNGM0ZDZiOGItNGZlMS00OGNiLWIxZGYtNDY2OTA0YTQ0NWNhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,343,tt0072652,movie,N/A,N/A,N/A,N/A,True,PISO 7.pdf,
Camino a la gloria,2002–,N/A,01 Mar 2002,N/A,Reality-TV,N/A,N/A,Mario Pergolini,N/A,Spanish,Argentina,N/A,N/A,[],N/A,N/A,N/A,tt1281307,series,,,,,True,PISO 7.pdf,N/A
Contra la pared,2021,N/A,01 Jan 2021,N/A,"Short, Comedy",Emiliano PérezGrovas Zapiain Zapiain,Emiliano PérezGrovas Zapiain Zapiain,"Héctor Bonilla, Rafael Sánchez Navarro, Eden Villavicencio",N/A,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BMjc4MmMwOWQtOWIzNi00MWJhLWI1ZjUtOWU4NzRmZmQ0NzI2XkEyXkFqcGdeQXVyMTAzOTk1MDMw._V1_SX300.jpg,[],N/A,N/A,N/A,tt10509600,movie,N/A,N/A,N/A,N/A,True,PISO 7.pdf,
Heroína,2005,Not Rated,06 May 2005,100 min,Drama,Gerardo Herrero,Ángeles González Sinde,"Adriana Ozores, Javier Pereira, Carlos Blanco","Based on a true story, this is an intense film of family love and values. A middle class mother of three discovers that her son is a heroin addict. She begins a long fight to change peoples' attitude towards drug-addicts and drug-trafficking. Basado en una historia real, es un film intenso sobre los valores de la familia. Una mujer de clase media descubre que su hijo es adicto a la heroina y comienza una larga lucha para cambiar la actitud de la gente hacia la droga y su trafico.","Spanish, Galician",Spain,5 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMTI2MjgxMjE1NV5BMl5BanBnXkFtZTcwNDg0NDQzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,252,tt0436385,movie,N/A,N/A,N/A,N/A,True,PISO 7.pdf,
Imperio,2011,N/A,04 Nov 2011,75 min,Documentary,"Marta Murcia, Manuel Palacios","Marta Murcia, Manuel Palacios",N/A,N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BNTZiYTU5MDUtYmRmMi00ZjM5LWIzNzEtMmM5MzQ1YTU4ZTUzXkEyXkFqcGdeQXVyMTc2MjM5NDY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt2098717,movie,N/A,N/A,N/A,N/A,True,PISO 7.pdf,
