Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginalTitle,totalSeasons
2001: A Space Odyssey,1968,G,12 May 1968,149 min,"Adventure, Sci-Fi",Stanley Kubrick,"Stanley Kubrick, Arthur C. Clarke","Keir Dullea, Gary Lockwood, William Sylvester","""2001"" is a story of evolution. Sometime in the distant past, someone or something nudged evolution by placing a monolith on Earth (presumably elsewhere throughout the universe as well). Evolution then enabled humankind to reach the moon's surface, where yet another monolith is found, one that signals the monolith placers that humankind has evolved that far. Now a race begins between computers (HAL) and human (Bowman) to reach the monolith placers. The winner will achieve the next step in evolution, whatever that may be.","English, Russian, French","United Kingdom, United States",Won 1 Oscar. 18 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BNjU0NDFkMTQtZWY5OS00MmZhLTg3Y2QtZmJhMzMzMWYyYjc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,8.3,"772,787",tt0062622,movie,N/A,"$60,481,243",N/A,N/A,True,Dos mil uno:odisea del espacio,
Tear This Heart Out,2008,R,12 Sep 2008,107 min,Drama,Roberto Sneider,"Ángeles Mastretta, Roberto Sneider","Ana Claudia Talancón, Daniel Giménez Cacho, José María de Tavira","Set in 1930's in Puebla, Mexico, a young woman finds herself in an arranged marriage to a prominent politician (Andres Ascencio). As his career progresses, she finds it more difficult to remain a loyal, loving wife.",Spanish,Mexico,6 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjg1NTYwMTEyMF5BMl5BanBnXkFtZTcwMzcxNjk5MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"2,807",tt1130981,movie,N/A,N/A,N/A,N/A,True,Arráncame la vida,
Leaving Las Vegas,1995,R,09 Feb 1996,111 min,"Drama, Romance",Mike Figgis,"John O'Brien, Mike Figgis","Nicolas Cage, Elisabeth Shue, Julian Sands","Because his wife left him and took his son with her, screenwriter Ben Sanderson has started drinking, a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired, he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera, a prostitute with some problems as well who he moves in with.","English, Russian, Latvian",United States,Won 1 Oscar. 32 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.5,"142,636",tt0113627,movie,N/A,"$32,029,928",N/A,N/A,True,Adiós a las Vegas,
Total Recall,1990,R,01 Jun 1990,113 min,"Action, Adventure, Sci-Fi",Paul Verhoeven,"Philip K. Dick, Ronald Shusett, Dan O'Bannon","Arnold Schwarzenegger, Sharon Stone, Michael Ironside",Douglas Quaid is haunted by a recurring dream about a journey to Mars. He hopes to find out more about this dream and buys a holiday at Rekall Inc. where they sell implanted memories. But something goes wrong with the memory implantation and he remembers being a secret agent fighting against the evil Mars administrator Cohaagen. Now the story really begins and it's a rollercoaster ride until the massive end of the movie.,English,"United States, Mexico, Netherlands",Nominated for 2 Oscars. 7 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZjRlMzBkOGMtMTA1Ny00ZWI4LTkzMDItOGVkNWJkN2E4ZTkwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,7.5,"378,339",tt0100802,movie,N/A,"$119,412,921",N/A,N/A,True,"""vengador del futuro, El""",
The Cloning of Joanna May,1992,N/A,25 Jan 1992,180 min,Sci-Fi,Philip Saville,"Fay Weldon (novel), Ted Whitehead","Patricia Hodge, Brian Cox, Billie Whitelaw","Joanna once was married to Carl May, a very rich and powerful nuclear energy magnate. They love each other, but had to divorce after Joanna was caught on an incidental love affair. Since then Carl has made Joanna's life impossible. 10 years later she's fed up with the situation and decides to visit him, only to find that once he made three copies of her.",English,United Kingdom,1 nomination,https://m.media-amazon.com/images/M/MV5BMzMxMDVhYzctODE5My00ZWQwLTk0N2YtODIyNWFhYjkxNzgxXkEyXkFqcGdeQXVyMzYyMzU2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,87,tt0101594,series,,,,,True,¡Clonación!,N/A
Naked Lunch,1991,R,24 Apr 1992,115 min,"Drama, Mystery",David Cronenberg,"William S. Burroughs, David Cronenberg","Peter Weller, Judy Davis, Ian Holm","Not an adaptation of beat writer William S. Burrough's novel but a mix of biography and an interpretation of his drug- induced writing processes combined with elements of his work in this paranoid fantasy about Bill Lee, a writer who accidentally shoots his wife, whose typewriter transforms into a cockroach and who becomes involved in a mysterious plot in North African port called Interzone. Wonderfully bizarre, not unlike Burrough's books.","English, Arabic, Spanish, German","Netherlands, United Kingdom, Japan, Canada",13 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BYzBkOWM0MTYtN2QwYy00YTg3LWIwNmEtMGRlNDNhN2UyNjU3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.9,"60,571",tt0102511,movie,N/A,"$2,641,357",N/A,N/A,True,"""almuerzo desnudo,El""",
Brainstorm,1983,PG,30 Sep 1983,106 min,"Sci-Fi, Thriller",Douglas Trumbull,"Bruce Joel Rubin, Robert Stitzel, Philip Frank Messina","Christopher Walken, Natalie Wood, Louise Fletcher","Brilliant researchers Lillian Reynolds and Michael Brace have developed a system of recording and playing back actual experiences of people. Once the capability of tapping into ""higher brain functions"" is added in, and you can actually jump into someone else's head and play back recordings of what he or she was thinking, feeling, seeing, etc., at the time of the recording, the applications of the project quickly spiral out of control. While Michael Brace uses the system to become close again to Karen Brace, his estranged wife who also works on the project, others start abusing it for intense sexual experiences and other logical but morally questionable purposes. The government tries to kick Michael and Lillian off the project once the vast military potential of the technology is discovered. It soon becomes obvious that the government is interested in more than just missile guidance systems. The lab starts producing mind torture recordings and other psychosis inducing material. When one of the researchers dies and tapes the experience of death, Michael is convinced that he must play back this tape to honor the memory of the researcher and to become enlightened. When another researcher dies during playback the tape is locked away and Michael has to fight against his former colleagues and the government lackeys that now run his lab in order to play back and confront the ""scariest thing any of us will ever face"" - death itself.",English,United States,2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BYzU3MjEyOGEtNWNiZC00YjVjLTg0OWUtOTZhMTk5NTkyNGY1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.4,"14,241",tt0085271,movie,N/A,"$10,219,460",N/A,N/A,True,Bicho de siete cabezas,
Reprise,2006,R,08 Sep 2006,105 min,Drama,Joachim Trier,"Joachim Trier, Eskil Vogt","Anders Danielsen Lie, Espen Klouman Høiner, Viktoria Winge","Two competitive friends, fueled by literary aspirations and youthful exuberance, endure the pangs of love, depression and burgeoning careers.",Norwegian,Norway,16 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BMTI0NjYzMjkxMl5BMl5BanBnXkFtZTcwMDk4NTE3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.3,"16,018",tt0827517,movie,N/A,"$554,826",N/A,N/A,True,Vivir de nuevo,
Kept and Dreamless,2005,Unrated,15 Oct 2005,97 min,"Comedy, Drama","Martín De Salvo, Vera Fogwill",Vera Fogwill,"Vera Fogwill, Lucía Snieg, Mirta Busnelli","Florence, a young irresponsible mother &amp; and her precocious daughter, Eugenia, have an unusual relationship. The roles between the two are reversed. Florence is totally inept at caring for a daughter, whereas Eugenia, only 10 years old, shows maturity and responsibility far beyond what her age might lead you to suppose.",Spanish,"Argentina, France, Netherlands, Spain",10 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTc2OTA5OTY0MF5BMl5BanBnXkFtZTcwNTcxNzY5MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,525,tt0365479,movie,N/A,N/A,N/A,N/A,True,mantenidas sin sueños.Las,
Scarface,1983,R,09 Dec 1983,170 min,"Crime, Drama",Brian De Palma,"Oliver Stone, Howard Hawks, Ben Hecht","Al Pacino, Michelle Pfeiffer, Steven Bauer","Tony Montana manages to leave Cuba during the Mariel exodus of 1980. He finds himself in a Florida refugee camp but his friend Manny has a way out for them: undertake a contract killing and arrangements will be made to get a green card. He's soon working for drug dealer Frank Lopez and shows his mettle when a deal with Colombian drug dealers goes bad. He also brings a new level of violence to Miami. Tony is protective of his younger sister but his mother knows what he does for a living and disowns him. Tony is impatient and wants it all however, including Frank's empire and his mistress Elvira Hancock. Once at the top however, Tony's outrageous actions make him a target and everything comes crumbling down.","English, Spanish",United States,8 nominations total,https://m.media-amazon.com/images/M/MV5BNDUzYjY0NmUtMDM4OS00Y2Q5LWJiODYtNTk0ZTk0YjZhMTg1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,8.3,"1,005,376",tt0086250,movie,N/A,"$45,967,303",N/A,N/A,True,Cara cortada,
