Original Failed Title,Likely Corrected Title
DVD 1. La voz del terror,Sherlock Holmes and the Voice of Terror
Sherlock Holmes y el arma secreta,Sherlock Holmes and the Secret Weapon
DVD 2. Sherlock Holmes en Washington,Sherlock Holmes in Washington
DVD 4. La perla maldita,The Pearl of Death
DVD 6. Terror en la noche,Terror by Night
DVD 5. La mujer de verde,The Woman in Green
Persecución en Argelia,Pursuit to Algiers
Doctor Who : tercera temporada,Doctor Who (TV Series)
Doctor Who : primera temporada,Doctor Who (TV Series)
Doctor Who : segunda temporada,Doctor Who (TV Series)
Doctor Who : cuarta temporada,Doctor Who (TV Series)
Doctor Who : sexta temporada,Doctor Who (TV Series)
Doctor Who : quinta temporada,Doctor Who (TV Series)
Doctor Who : octava temporada,Doctor Who (TV Series)
Doctor Who : septima temporada,Doctor Who (TV Series)
Downton Abbey : tercera temporada,Downton Abbey (TV Series)
Dulce desafío,Sweet Challenge
DVD 3. La mujer araña,The Spider Woman
Friends: La primera temporada completa,Friends (TV Series)
Friends: La segunda temporada completa,Friends (TV Series)
Friends: La cuarta temporada completa,Friends (TV Series)
DVD 2. El apoderado de Hudsucker Proxy,The Hudsucker Proxy
DVD 1. El gran Lebowski,The Big Lebowski
Game of Thrones la primera temporada,Game of Thrones (TV Series)
Game of Thrones la tercera temporada,Game of Thrones (TV Series)
Game of Thrones la segunda temporada,Game of Thrones (TV Series)
Game of Thrones la quinta temporada,Game of Thrones (TV Series)
Game of Thrones la sexta temporada,Game of Thrones (TV Series)
Indiana Jones y Los cazadores del Arca,Indiana Jones and the Raiders of the Lost Ark
"""Juegos del hambre, Los""",The Hunger Games
Jurassic world Mundo Jurásico,Jurassic World
DVD 3. Barton Fink,Barton Fink
Game of Thrones la cuarta temporada,Game of Thrones (TV Series)
Kill Bill La venganza Vol. 1,Kill Bill: Vol. 1
"""Leyenda del tesoro perdido, La""",National Treasure
Jurasick Park,Jurassic Park
"""Leyenda del tesoro perdido 2, La : el libro de...""",National Treasure: Book of Secrets
"""Jurassic park, El mudo perdido""",The Lost World: Jurassic Park
Matrix recargado,The Matrix Reloaded
Matrix : detrás de la magia,The Matrix Revisited
Millennium 1 : Los hombres que no amaban a...,The Girl with the Dragon Tattoo
Millennium 2 : La chica que soñaba con un...,The Girl Who Played with Fire
Millennium 3 : La reina en el palacio de las...,The Girl Who Kicked the Hornet's Nest
Mi pobre angelito Home alone,Home Alone
"""Mi pobre angelito, 2 perdido en Nueva York""",Home Alone 2: Lost in New York
"""Juegos del hambre, Los: En llamas""",The Hunger Games: Catching Fire
"""Ley & el orden, La : intento criminal. Primera...""",Law & Order: Criminal Intent (TV Series)
Mujeres asesinas. Primera temporada,Mujeres Asesinas (TV Series)
Mujeres asesinas. Segunda temporada,Mujeres Asesinas (TV Series)
"""Musketeers, the : primera temporada""",The Musketeers (TV Series)
aked City season one,Naked City (TV Series)
apoleón : épica del hombre que cambió el...,Napoleon (TV Mini Series)
iño Santo,The Holy Child
ip tuck: temporada dos,Nip/Tuck (TV Series)
ip tuck: temporada uno,Nip/Tuck (TV Series)
ip tuck: temporada tres,Nip/Tuck (TV Series)
ip tuck: temporada cuatro,Nip/Tuck (TV Series)
Qué pasó ayer?,The Hangover
Hombre de acero . El,Man of Steel
Twenty four [24] the complete second...,24 (TV Series)
Ugly Betty la segunda temporada,Ugly Betty (TV Series)
V invasión extraterrestre Primera temporada,V (TV Series)
Viaje a las estrellas la película,Star Trek: The Motion Picture
ip tuck: temporada cinco,Nip/Tuck (TV Series)
Viaje a las estrellas II la ira de Khan,Star Trek II: The Wrath of Khan
Matrix revoluciones,The Matrix Revolutions
Viaje a las estrellas IV Misión: Salvar a la Tierra,Star Trek IV: The Voyage Home
Viaje a las estrellas la última frontera,Star Trek V: The Final Frontier
Viaje a las estrellas primer contacto,Star Trek: First Contact
Volver al futuro Trilogía,Back to the Future Trilogy
Wolverine Inmortal,The Wolverine
Don Gato y su pandilla,Top Cat: The Movie
El mundo de Mafalda,The World of Mafalda
Los picapiedra,The Flintstones
"""El show secreto.Vol.2,vol. 4""",The Secret Show (TV Series)
"""Shrek, 3-D""",Shrek 3-D
Ugly Betty la primera temporada completa,Ugly Betty (TV Series)
Toy story I,Toy Story
"""Super clásicos infantiles, 3 :el gigante ártico""",The Arctic Giant
Toy story II,Toy Story 2
Toy story III,Toy Story 3
aruto shippuden 10,Naruto Shippuden (Anime Series)
"""One piece collection, 1""",One Piece (Anime Series)
Fullmetal alchemist Brotherhood : complete...,Fullmetal Alchemist: Brotherhood (Anime Series)
Una noche en el museo Vol.1 y Vol. 2,Night at the Museum
alone complex : S.A.C. 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG
aruto triple feature,Naruto the Movie: Triple Feature
FLCL The complete series,FLCL (Anime Series)
Hombres X la resurrección de los mutantes,X-Men: Evolution - Mutants Rising
Sobrenatural : el anime,Supernatural: The Anime Series
Batman inicia,Batman Begins
Batman: el caballero de la noche,The Dark Knight
Batman: el caballero de la noche asciende,The Dark Knight Rises
"""Batman el caballero de la noche regresa, parte 1""","Batman: The Dark Knight Returns, Part 1"
