Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Sherlock Holmes and the Secret Weapon,1942,Approved,12 Feb 1943,68 min,"Adventure, Crime, Drama",Roy William Neill,"Edward T. Lowe Jr., Scott Darling, Edmund L. Hartmann","Basil Rathbone, Nigel Bruce, Lionel Atwill","Sherlock Holmes helps a scientist escape the clutches of the Gestapo in Switzerland and gets him to England. The man has invented a revolutionary new bombsight that will significantly aid Britain's war effort. Now that he's in England he should be safe, right?","English, French, Indonesian",United States,N/A,https://m.media-amazon.com/images/M/MV5BYTM1ZWFkYzYtOGRlNy00NGE2LWFmZGUtZDYyMDE1ZTNiYjVhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"7,187",tt0035317,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
El eco del miedo,2012,R,15 Aug 2013,77 min,"Horror, Mystery, Thriller",Sam Reyes,Mario A. Pérez González,"Roberto Quijano, Sarah Nichols, Andrea Baeza","A young woman in the middle of an economical crisis, a little girl who is facing a new environment and a loyal dog that will work as a link between both, will have to spend two nights in an old big house that is falling into pieces. Sounds at night and shadows accompanied with threatening echoes emerging from darkness are constant in the house. Will they be able to undergo the situation and solve the enigma that surrounds the presence that still rounds the house?",Spanish,Mexico,1 nomination,https://m.media-amazon.com/images/M/MV5BODgzOTA4MDI2Nl5BMl5BanBnXkFtZTcwNjY5NDMzOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,66,tt2308659,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Con licencia para matar,1969,N/A,28 Aug 1969,86 min,"Action, Adventure, Sci-Fi",Rafael Baledón,Alfredo Ruanova,"Fernando Casanova, Emily Cranz, Maura Monti","Four martial-artsy crime-fighting gals and their comic sidekick, under the leadership of a middle-aged guy in a business suit, defeat evil criminals.",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNDBhNzFmNjAtYTUxZC00NzY4LWIxMjAtZDRjOGZhMjk2YmIzXkEyXkFqcGdeQXVyMzQyMTgyMzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,30,tt0250308,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Doctor Foster,2013,N/A,03 Feb 2013,N/A,"Animation, Short, Comedy",Tom Hunt,Tom Hunt,Lennon Bell,An embittered Doctor travels to South West England and his simple day trip becomes an emotional roller coaster ride that will shape him and his world view for the rest of his life.,English,United Kingdom,N/A,N/A,[],N/A,N/A,N/A,tt5111840,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Estado de Gracia,2009–,N/A,01 Aug 2012,N/A,Drama,N/A,N/A,"Alejandro Belmonte, Keyla Wood, Veronica Falcón",N/A,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BYTNhYWUzNTAtZmFjOS00MzE0LTk3NjAtODExOTdiODY4N2VlXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,9,tt2323614,series,,,,,True,PRESTAMO EN SALA 2026.pdf,N/A
El encanto del águila,2011–,N/A,15 Nov 2011,N/A,Biography,N/A,N/A,"Carlos Corona, Emilio Echevarría, Enoc Leaño",El encanto del águila is a Mexican television series based on the history of Mexico that shows in 13 chapters the events that marked the Mexican revolution.,Spanish,Mexico,1 win,https://m.media-amazon.com/images/M/MV5BNDI4OTFmZDQtMDFlZi00ZWI3LTllY2UtZDFhZjE5NGJhZTJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,85,tt2121467,series,,,,,True,PRESTAMO EN SALA 2026.pdf,1
Fall of Eagles,1974,N/A,15 Mar 1974,50 min,"Drama, History, War",N/A,John Elliot,"Michael Hordern, Charles Kay, Barry Foster","The collapse of three great European dynasties: the Romanovs, the Habsburgs, and the Hohenzollerns.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMTk2NDcyOTI5Nl5BMl5BanBnXkFtZTcwMjg3MDA0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,699,tt0207885,series,,,,,True,PRESTAMO EN SALA 2026.pdf,1
The Lady and the Reaper (La dama y la muerte),2009,TV-G,19 Feb 2010,8 min,"Animation, Short, Action",Javier Recio Gracia,Javier Recio Gracia,"Miguel Angel Perez, Eva Molina","A sweet old lady is living alone in her farm, waiting for the arrival of death to meet her beloved husband again. One night, while sleeping, her life fades out and she is invited to cross death's door. Bue when she is about to do so, the old lady wakes up inside a hospital's ward: and arrogant doctor has taken her back to life and he will fight hard against death to recover the old lady's life at any cost.",English,Spain,Nominated for 1 Oscar. 3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYWI1NTEyNzQtYTM1Ny00OTMwLTgyZWMtNDYxZmVmMzZhY2ZlXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"2,710",tt1523317,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Feijoada Completa,2012,N/A,07 Aug 2012,20 min,Short,Angelo Defanti,"Vanessa Barbara, Chico Buarque, Angelo Defanti","Sonia Braga, Augusto Madeira, Paulo Miklos","This film is an adaptation of the short story ""Feijoada Completa"" by Luis Fernando Verissimo, in turn inspired by the homonymous Chico Buarque' song.",Portuguese,Brazil,2 nominations,https://m.media-amazon.com/images/M/MV5BOTQ0NzkxMmEtOTRmMS00YWVmLTgzNzItN2ZhMmM0MTM1YjFkXkEyXkFqcGdeQXVyMDk2OTQ1Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,28,tt2333330,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
The Hunger Games: Catching Fire,2013,PG-13,22 Nov 2013,146 min,"Action, Adventure, Sci-Fi",Francis Lawrence,"Simon Beaufoy, Michael Arndt, Suzanne Collins","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth","Twelve months after winning the 74th Hunger Games, Katniss Everdeen and her partner Peeta Mellark must go on what is known as the Victor's Tour, wherein they visit all the districts, but before leaving, Katniss is visited by President Snow who fears that Katniss defied him a year ago during the games when she chose to die with Peeta. With both Katniss and Peeta declared the winners, it is fueling a possible uprising. He tells Katniss that while on tour she better try to make sure that she puts out the flames or else everyone she cares about will be in danger.",English,United States,22 wins & 68 nominations total,https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.5,"768,630",tt1951264,movie,N/A,"$424,668,047",N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Jurassic Park 3 (2001),2001,N/A,25 Mar 2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt25211432,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Spielberg,2017,TV-MA,07 Oct 2017,147 min,"Documentary, Biography",Susan Lacy,N/A,"Steven Spielberg, Martin Scorsese, Richard Dreyfuss","A documentary on Steven Spielberg, filmmaker. Includes interviews with relatives, film critics, peers and people who have worked with him.",English,United States,Nominated for 1 Primetime Emmy. 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTg2OGMyODgtMjNkZS00MWMxLWE5YWItNmEwNmJiZjk0M2RhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",N/A,7.7,"8,507",tt7133092,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Escarlata,1969,N/A,N/A,N/A,N/A,Fely Crisostomo,N/A,"Amalia Fuentes, Zaldy Zshornack, Max Alvarado, Bella Flores",N/A,"Tagalog, Filipino",Philippines,N/A,N/A,[],N/A,N/A,N/A,tt2246679,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
