Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginalTitle,totalSeasons
Sherlock Holmes and the Secret Weapon,1942,Approved,12 Feb 1943,68 min,"Adventure, Crime, Drama",Roy William Neill,"Edward T. Lowe Jr., Scott Darling, Edmund L. Hartmann","Basil Rathbone, Nigel Bruce, Lionel Atwill","Sherlock Holmes helps a scientist escape the clutches of the Gestapo in Switzerland and gets him to England. The man has invented a revolutionary new bombsight that will significantly aid Britain's war effort. Now that he's in England he should be safe, right?","English, French, Indonesian",United States,N/A,https://m.media-amazon.com/images/M/MV5BYTM1ZWFkYzYtOGRlNy00NGE2LWFmZGUtZDYyMDE1ZTNiYjVhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"7,187",tt0035317,movie,N/A,N/A,N/A,N/A,True,Sherlock Holmes y el arma secreta,
The Pearl of Death,1944,Approved,01 Aug 1944,69 min,"Crime, Drama, Horror",Roy William Neill,"Bertram Millhauser, Arthur Conan Doyle","Basil Rathbone, Nigel Bruce, Dennis Hoey","When a pearl with a sinister reputation for causing misfortune to its owners is stolen from a museum by a master criminal because of Sherlock Holmes' show-boating, he is naturally obliged to find it. Soon, he learns of a series of brutal murders that seemed to have been commited by a malevolent man mountain known only as the Creeper. Now, Holmes must deal with the seemingly overwhelming menace of this man and his boss in order to retrieve the pearl.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTUwMDg3MzQ4NV5BMl5BanBnXkFtZTgwNjU3NTA1MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"5,354",tt0037168,movie,N/A,N/A,N/A,N/A,True,DVD 4. La perla maldita,
Pursuit to Algiers,1945,Approved,26 Oct 1945,65 min,"Adventure, Crime, Mystery",Roy William Neill,"Arthur Conan Doyle, Leonard Lee","Basil Rathbone, Nigel Bruce, Marjorie Riordan","Holmes and Watson are recruited in a serpentine fashion to escort the heir to a European throne back to his native country following his father's assassination. Because the prince has been educated in Great Britain, Holmes persuades him to masquerade as Watson's nephew Nikolas on an ocean liner bound for Algiers. Unfortunately, the ship is filled with red herrings as well as real assassins and Holmes is challenged to outwit them all and deliver his charge to his destination. Among the suspects are a knife-throwing circus performer, two shadowy archaeologists, a hulking deaf mute, an enigmatic ship's steward, a chanteuse with a mysterious song case, and a gun-toting British dowager.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZThjNDg3M2MtM2RmZi00MWY2LWJhYjQtMmJhZWQzZGU2NDE5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"4,395",tt0038008,movie,N/A,N/A,N/A,N/A,True,Persecución en Argelia,
Sherlock Holmes in Washington,1943,Approved,30 Apr 1943,71 min,"Horror, Mystery, Thriller",Roy William Neill,"Bertram Millhauser, Lynn Riggs, Arthur Conan Doyle","Basil Rathbone, Nigel Bruce, Marjorie Lord","Sherlock Holmes is engaged by the Home Office to locate a British subject traveling for his law firm to Washington, D.C. The man had flown to New York City and then took the train to Washington. On the outskirts of the city, the man was kidnapped and has not been seen for several days now. Holmes learns from the Home Office that the man was in fact a government agent who was delivering a highly secret, two page document to the US government. In verifying the contents at his flat, Holmes concludes the document had been reduced to microfilm. The question becomes whether he may have had the opportunity to pass the microfilm to someone else on the train before he was taken.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjViZDBkNmMtYTNmMi00MTNlLTllZDAtZTk4YTBhMWM3MDQ1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"5,077",tt0036349,movie,N/A,N/A,N/A,N/A,True,DVD 2. Sherlock Holmes en Washington,
Terror by Night,1946,Approved,01 Feb 1946,60 min,"Crime, Drama, Film-Noir",Roy William Neill,"Frank Gruber, Arthur Conan Doyle","Basil Rathbone, Nigel Bruce, Alan Mowbray","Holmes is hired by Roland Carstairs to prevent the theft of the Star of Rhodesia, a 423 carat diamond owned by Carstairs' mother, Lady Margaret. Suspecting the diamond will be stolen on a train trip from London to Edinburgh in Scotland, Holmes deftly switches diamonds with Lady Margaret while in her compartment admiring the jewel. Soon after, Roland is murdered and the fake diamond is stolen. Red herrings abound as Holmes, aided by Dr. Watson and Inspector Lestrade, discover the murderer's hiding place and deduce that long-time nemesis Professor Moriarty's henchman, Colonel Sebastian Moran, is somehow involved in the crime.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTEzMGFmNjYtYjIxYS00Mzg5LWFhOTAtNWE5Y2I2Nzg3YzhjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,6.7,"7,630",tt0039017,movie,N/A,N/A,N/A,N/A,True,DVD 6. Terror en la noche,
Sherlock Holmes and the Voice of Terror,1942,Approved,18 Sep 1942,65 min,"Crime, Horror, Mystery",John Rawlins,"Lynn Riggs, John Bright, Arthur Conan Doyle","Basil Rathbone, Nigel Bruce, Evelyn Ankers","When a Nazi saboteur jeeringly predicts to the nation new depredations via the radio 'Voice of Terror', the Homeland Security Inner Council summons Sherlock Holmes (Basil Rathbone) to help in the crisis. Holmes and his companion, Dr. Watson (Nigel Bruce), receive a visitor on the first night of their investigation; a man falls dying from a knife in the back on their doorstep. His last word leads Holmes into the slums where he encounters Kitty (Evelyn Ankers), the sweetheart of the slain man, who promises to help the investigation in any way she can.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTQ1NGFmYzgtNTkwYy00ZTlmLWJiMjEtOGE4MjY4YWU5YWY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"5,557",tt0035318,movie,N/A,N/A,N/A,N/A,True,DVD 1. La voz del terror,
The Woman in Green,1945,Approved,27 Jul 1945,68 min,"Crime, Drama, Horror",Roy William Neill,"Bertram Millhauser, Arthur Conan Doyle","Basil Rathbone, Nigel Bruce, Hillary Brooke","Holmes and Watson investigate a series of bizarre and apparently unconnected murders, and the death of a possible suspect. The trail leads to a society of hypnotists and a mysterious, glamorous woman. The fiendish Dr James Moriarty, though reported hanged in Montevideo, is suspected of being involved.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjAwN2UyMGQtNzk3Zi00Y2Q2LWEwZTMtYTNkZjkyMWE1N2JiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.6,"7,376",tt0038259,movie,N/A,N/A,N/A,N/A,True,DVD 5. La mujer de verde,
The Spider Woman,1943,Approved,21 Jan 1944,63 min,"Horror, Mystery, Thriller",Roy William Neill,"Bertram Millhauser, Arthur Conan Doyle","Basil Rathbone, Nigel Bruce, Gale Sondergaard","Sherlock Holmes takes on a case that the press has dubbed the pajama suicides. Eminent men are going to bed in the safety of their own homes, with everything seemingly being normal, only to commit suicide in the night. Holmes fakes his own death in the hopes of giving him a freer hand in the investigation and is convinced that a woman, a female Moriarty as he describes her, is behind the deaths. The dead men were all eminent and very wealthy. He impersonates a wealthy retired Indian military officer in the hope of drawing out the woman and he soon meets Adrea Spedding but she quickly sees through his disguise and proves herself to be the challenge Holmes predicted she would be. She is a worthy adversary and soon traps him setting him up in a carnival shooting gallery that seems to assure his death.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWEyZWJmZDgtNzVkOC00YzNlLWJmYjItZTgzMDI2YjgzMDJlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"5,282",tt0037303,movie,N/A,N/A,N/A,N/A,True,DVD 3. La mujer araña,
The Hudsucker Proxy,1994,PG,11 Mar 1994,111 min,"Comedy, Drama, Fantasy","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen, Sam Raimi","Tim Robbins, Paul Newman, Jennifer Jason Leigh","When Waring Hudsucker, head of hugely successful Hudsucker Industries, commits suicide, his board of directors, led by Sidney Mussberger, comes up with a brilliant plan to make a lot of money: appoint a moron to run the company. When the stock falls low enough, Sidney and friends can buy it up for pennies on the dollar, take over the company, and restore its fortunes. They choose idealistic Norville Barnes, who just started in the mail room. Norville is whacky enough to drive any company to ruin, but soon, tough reporter Amy Archer smells a rat and begins an undercover investigation of Hudsucker Industries.",English,"United Kingdom, Germany, United States",3 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTc0YmNlMmQtNWQ4Yy00ZWZlLTgxYzItOWI2MGQyZGNmMWUzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,7.2,"89,975",tt0110074,movie,N/A,"$2,816,518",N/A,N/A,True,DVD 2. El apoderado de Hudsucker Proxy,
The Big Lebowski,1998,R,06 Mar 1998,117 min,"Comedy, Crime","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen","Jeff Bridges, John Goodman, Julianne Moore","When ""the dude"" Lebowski is mistaken for a millionaire Lebowski, two thugs urinate on his rug to coerce him into paying a debt he knows nothing about. While attempting to gain recompense for the ruined rug from his wealthy counterpart, he accepts a one-time job with high pay-off. He enlists the help of his bowling buddy, Walter, a gun-toting Jewish-convert with anger issues. Deception leads to more trouble, and it soon seems that everyone from porn empire tycoons to nihilists want something from The Dude.","English, German, Hebrew, Spanish","United Kingdom, United States",7 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BY2E3OWQ5OWYtYTRkMC00NjVjLWIzZDQtNmRmM2ZiYTIyYmYxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,8.1,"911,908",tt0118715,movie,N/A,"$19,488,923",N/A,N/A,True,DVD 1. El gran Lebowski,
