id,title_spanish,title_english,director,raw_line,raw_text
1,A corazón abierto,Open hearts,Susanne Bier,1 A corazón abierto = Open hearts Dir. Susanne Bier,1 A corazón abierto = Open hearts Dir. Susanne Bier
2,we go now,,,2 we go now,2 we go now
3,that into you,,,3 that into you,3 that into you
4,heaven,,,4 heaven,4 heaven
5,Hunt for the Unicorn Killer,,,5 Hunt for the Unicorn Killer,5 Hunt for the Unicorn Killer
6,A few good men,Cuestion de honor,Rob Reiner,6 A few good men = Cuestion de honor Dir. Rob Reiner,6 A few good men = Cuestion de honor Dir. Rob Reiner
7,A media escalera,Halbe treppe,Andreas Dressen,7 A media escalera = Halbe treppe Dir. Andreas Dressen,7 A media escalera = Halbe treppe Dir. Andreas Dressen
8,A paso de cojo,,Luis Alcoriza,8 A paso de cojo Dir. Luis Alcoriza,8 A paso de cojo Dir. Luis Alcoriza
9,A prueba de balas,Bulletproof,Ernest Dickerson,9 A prueba de balas = Bulletproof Dir. Ernest Dickerson,9 A prueba de balas = Bulletproof Dir. Ernest Dickerson
10,A sangre fría,The ice Harvest,Harold Ramis,10 A sangre fría = The ice Harvest Dir. Harold Ramis,10 A sangre fría = The ice Harvest Dir. Harold Ramis
11,A sangre fría,The way of the gun,Christopher McQuarrie,11 A sangre fría = The way of the gun Dir. Christopher McQuarrie,11 A sangre fría = The way of the gun Dir. Christopher McQuarrie
12,A single man,Un hombre solitario,Tom Ford,12 A single man = Un hombre solitario Dir. Tom Ford.,12 A single man = Un hombre solitario Dir. Tom Ford.
13,Universe,,,13 Universe,13 Universe
14,las nubes,,,14 las nubes,14 las nubes
15,Abajo el telón,,Miguel M,15 Abajo el telón Dir. Miguel M. Delgado,15 Abajo el telón Dir. Miguel M. Delgado
16,"Abandonadas, Las",,Emilio Fernández,"16 Abandonadas, Las Dir. Emilio Fernández","16 Abandonadas, Las Dir. Emilio Fernández"
17,Abel,,Diego Luna,17 Abel Dir. Diego Luna,17 Abel Dir. Diego Luna
18,advocate,,,18 advocate,18 advocate
19,Abraham : the friend of God,,,19 Abraham : the friend of God,19 Abraham : the friend of God
20,"Abrazos rotos, Los",,Pedro Almodóvar,"20 Abrazos rotos, Los Dir. Pedro Almodóvar","20 Abrazos rotos, Los Dir. Pedro Almodóvar"
21,"Abuelo, El",,José Luis Garci,"21 Abuelo, El Dir. José Luis Garci","21 Abuelo, El Dir. José Luis Garci"
