id,title_spanish,title_english,director,raw_line
1,A corazón abierto,Open hearts,Susanne Bier,1 A corazón abierto = Open hearts Dir. Susanne Bier
2,¿A dónde vamos ahora? = Where do,,,2¿A dónde vamos ahora? = Where do
3,A él no le gustas tanto = He’s just not,,,3A él no le gustas tanto = He’s just not
4,A la orilla del cielo = The edge of,,,4A la orilla del cielo = The edge of
5,A la caza del unicornio asesino = The,,,5A la caza del unicornio asesino = The
6,A few good men,Cuestion de honor,Rob Reiner,6  A few good men = Cuestion de honor Dir. Rob Reiner
7,A media escalera,Halbe treppe,Andreas Dressen,7 A media escalera = Halbe treppe Dir. Andreas Dressen
8,A paso de cojo,,Luis Alcoriza,8 A paso de cojo Dir. Luis Alcoriza
9,A prueba de balas,Bulletproof,Ernest Dickerson,9 A prueba de balas = Bulletproof Dir. Ernest Dickerson
10,A sangre fría,The ice Harvest,Harold Ramis,10 A sangre fría = The ice Harvest Dir. Harold Ramis
11,A sangre fría,The way of the gun,Christopher McQuarrie,11 A sangre fría = The way of the gun Dir. Christopher McQuarrie
12,A single man,Un hombre solitario,Tom Ford,12 A single man = Un hombre solitario Dir. Tom Ford.
13,A través del universo = Across the,,,13A través del universo = Across the
14,A walk in the clouds  = Un paseo por,,,14A walk in the clouds  = Un paseo por
15,Abajo el telón,,Miguel M,15 Abajo el telón Dir. Miguel M. Delgado
16,"Abandonadas, Las",,Emilio Fernández,"16 Abandonadas, Las Dir. Emilio Fernández"
17,Abel,,Diego Luna,17 Abel Dir. Diego Luna
18,"Abogado del diablo, El = Devil’s",,,"18Abogado del diablo, El = Devil’s"
19,Abraham : el amigo de Dios =,,,19Abraham : el amigo de Dios =
20,"Abrazos rotos, Los",,Pedro Almodóvar,"20 Abrazos rotos, Los Dir. Pedro Almodóvar"
21,"Abuelo, El",,José Luis Garci,"21 Abuelo, El Dir. José Luis Garci"
22,Aca las tortas,,Juan Bustillo Oro,22 Aca las tortas Dir. Juan Bustillo Oro
23,Acantilado rojo,Red cliff,John Woo,23 Acantilado rojo = Red cliff Dir. John Woo
24,Acechada,Twisted,Philip Kaufman,24 Acechada = Twisted  Dir. Philip Kaufman
25,"Acorazado Potemkin, El =",,,"25Acorazado Potemkin, El ="
26,Acorralada,Trapped,Luis Mandoki,26 Acorralada = Trapped Dir. Luis Mandoki
27,Actas de Marusia,,Miguel Littin,27 Actas de Marusia Dir. Miguel Littin
