id,title_spanish,director,reason
37,African Footprint,Richard Loring,no_match
48,Ahí esta el detalle,Juan Bustillo Oro,no_match
81,"Amarillo mango Assis, Claudio,",,no_match
177,Avaricia criminal,Ron Wolotzky,no_match
229,Betty Fisher y otras historias,Claude Mi,no_match
411,Color delcrimen.El,Joe Roth,no_match
461,"Cortometraje más que un instante, 3",Varios,no_match
462,"Cortometraje más que un instante, 8",Patricia Arriaga Jordán,no_match
463,Cortometrajes extranjeros de animación 3,Varios,no_match
464,Cortometrajes extranjeros de animación 5,Varios,no_match
489,Cuarenta [ i. e.] 40 días,Juan Carlos Martín Méndez,no_match
502,Cuentos y realidades Película Iraní,,no_match
561,Deudas de sangre,Charley Stadler,no_match
606,Doble traición.La / Asesinas,Gary Ellis,no_match
660,Emily Brontë cumbres borrascosas Emily Brontë wuthering heights,Peter Kosminsky,no_match
721,"Estafa maestra, La",F,no_match
727,Estrellas del sur,y guión Luis Nieto,no_match
788,Fragmaentos del destino,Jieho Lee,no_match
798,Frida : naturaleza viva,"Paul Leduc, Alejandro Luna",no_match
823,Gauguín:diario de un genio,Mario Andreacchio,no_match
929,Historia del camello que llora,Byambasur Davaa,no_match
1151,"Leyendas de Rita, Las",y guión Volker Schlôndorff,no_match
1293,Metropolis Osamu Tezuka’s Metropolis,Rintaro,no_match
1303,Mi pareja es mi rival,Lea Fazer,no_match
1326,Mis dos mujeres,Benoit Cohen,no_match
1341,Moisés y los 10 mandamientos,Gianfranco De Bosio,no_match
1448,"Novia siria, La",Eran Riklis,no_match
1559,"Pequeño tallarin, El",Menaemi Ayelet,no_match
1584,Pinceladas de fuego,Im Kwon Taek,no_match
1665,Quiero ser famosa,Dominique Deruddere,no_match
1699,Reina de persia,Michael O,no_match
1770,Santo contra las lobas,Jaime Jiménez Pons,no_match
1779,Santo en la venganza de la momia azteca,Rene Cardona Jr,no_match
1820,"Señora Beba, La",y guión Jorge Gaggero,no_match
1821,Septiembre 11 Varios Directores,,no_match
2119,Unas dulces mentiras,Julie Bertuccelli,no_match
