id,title_spanish,director,candidate_title,candidate_imdb_id,match_type,score
557,Después de medianoche,Davide Ferrario,6 Cortos para después de la Medianoche,tt30750940,fuzzy_71,71
627,Drácula Bram Stoker’s Dracula,Francis Ford Coppola,Making 'Bram Stoker's Dracula',tt0263696,fuzzy_82,82
630,Dragón vs Dragón,Art Camacho,Dragon vs. Ninja,tt15076646,fuzzy_69,69
639,Duma Duma,Carroll Ballard,Duma about Mama,tt14562870,fuzzy_67,67
644,Duros. los,Sheldon Lettichi,Los días duros,tt0065679,fuzzy_82,82
686,Entre fantasmas,Douglas Elford-Argent,Entre Lembranças e Fantasmas,tt14080062,fuzzy_71,71
787,Foxcatcher Foxcatcher,Bennett Miller,Team Foxcatcher,tt5598216,fuzzy_72,72
849,"Gran amante, El",Woody Allen,Sweet and Lowdown,tt0158371,fuzzy_88,88
995,Implacable. El,William Lustig,El rifle implacable,tt0281133,fuzzy_81,81
1001,Infierno. El,John G,El infierno vasco,tt1329369,fuzzy_79,79
1024,Invictus Invictus,Clint Eastwood,Sol Invictus,tt1584146,fuzzy_69,69
1031,Irreversible Irréversible,Gaspar Noé,Irreversible Desires,tt29382607,fuzzy_76,76
1081,Juego Prohibido,R,Juego de amor prohibido,tt0073218,fuzzy_79,79
1345,Monte Cristo The count of Monte Cristo,Kevin Reynolds,The Story of the Count of Monte Cristo,tt0054761,fuzzy_84,84
1422,Niños del hombre,Alfonso Cuarón,Children of the Wicker Man,tt32582337,fuzzy_73,73
1468,Ocho y medio,Federico Fellini,Ocho Hombres y Medio,tt32639101,fuzzy_75,75
1519,Papillón Papillon,Franklin J,Le papillon,tt0383554,fuzzy_74,74
1691,"Reglas de Víktor Vogel, Las",Lars Kraume,Commercial Attacks Man,tt3122976,fuzzy_78,78
1703,Rent no day but today,Chris Columbus,No Day But Today: The Story of 'Rent',tt0497421,fuzzy_76,76
1740,Rojo amanecer,Jorge Fons,Cielo rojo al amanecer,tt1691833,fuzzy_74,74
1762,Sanjuro Tsubaki Sanjûrô,Akira Kurosawa,Tsubaki Sanjûrô,tt0905366,fuzzy_79,79
1957,The silence( silencio. el),Cate Shortland,El silencio de Neto,tt0111186,fuzzy_73,73
49,"Aire de Clara, El",Sarah Minter,El aire de la tarde,tt0137347,director_filmography_80,80
67,Alicia en las ciudades,Wim Wenders,Alicia en el País de las Ballenas,tt15067172,director_filmography_65,65
78,"Amante de Mussolini, La",Marco Bellocchio,La amante de la mafia,tt4030964,director_filmography_70,70
95,"Amo del viento, El",Roger Dona,El puño del amo,tt0049079,director_filmography_77,77
150,"Aroma del exíto, El",Michael Polish,El aroma del Copal,tt0112391,director_filmography_78,78
152,"Arte de matar,El",Christian Duguay,El arte de morir,tt0242285,director_filmography_71,71
207,"Batalla de Riddick, La",y esc,La Batalla de Vieques,tt2962890,director_filmography_67,67
226,"Beso del juego, El",Jerry London,El beso del ángel,tt0416516,director_filmography_79,79
256,"Brujas de Eastwick, Las",George Miller,Juan de las Brujas,tt8521648,director_filmography_75,75
257,"Brujas de Salem, Las",Joseph Sargent,Las Brujas de E'lente,tt9244584,director_filmography_80,80
311,Carnaval en el trópico Carnaval en Veracruz,Carlos Villatoro,Carnaval en el trópico,tt0161377,fuzzy_83,83
319,"Casa de Alicia, La",Chico Teixeira,La casa de palos,tt13699732,director_filmography_79,79
320,"Casa de arena y niebla, La",Vadim Perlman,La Casa Que Arde de Noche,tt0278383,director_filmography_72,72
346,"Cenizas de Ángela, Las",Alan Parker,Memoria de las cenizas,tt13288792,director_filmography_81,81
472,"Clave del éxito, La",John Swanbeck,La clave del diablo,tt0777811,director_filmography_81,81
498,Cuenta final,Frank Oz,Lo que cuenta es el final,tt8584690,director_filmography_65,65
507,"Culpa la tiene fidel, La",Julie Gavras,Nadie tiene la culpa,tt1991133,fuzzy_82,82
511,"Dama de honor, La",Claude Chabrol,La Dama de Sal,tt7509304,director_filmography_65,65
531,"Decadencia del imperio americano, La",Denys Arcand,La decadencia del club,tt0474621,director_filmography_67,67
548,Desde allá .,y guión Lorenzo Vigas,Desde el más allá,tt2788684,director_filmography_75,75
570,"Día que ví tu corazón, El",Jennifer Devoldere,El día que me amen,tt0362582,director_filmography_66,66
571,"Diablo dijo no, El",Ernest Lubitsch,Algo es algo dijo el diablo,tt0327406,director_filmography_68,68
578,"Días del abandono, Los",Roberto Faenza,Los días del pasado,tt0075969,director_filmography_67,67
673,"Encanto del erizo, El",Mona Achache,El Encanto del Regreso,tt9540792,director_filmography_86,86
720,"Estaciones de la vida, Las",Kim Ki-duk,Las cuatro estaciones de un año,tt0333283,director_filmography_71,71
742,"Expreso de von Ryan, El",Mark Robson,El hombre del expreso de Oriente,tt0054987,director_filmography_67,67
767,"Festin de Babette, El",Isaac Dinesen,El festin de la loba,tt0322269,director_filmography_66,66
769,"Fiebre del loco, La",Andrés Wood,La fiebre del oro,tt27427841,director_filmography_91,91
779,"Flor del mal, La",Claude Chabrol,La última flor del cerezo,tt9826660,director_filmography_72,72
927,"Historia de Jacobo, La",Peter Hall,La historia de Jan,tt5783124,director_filmography_87,87
